legend_id,source_id,name,strat_name,age,dec,comments,lith_class
45755,39,Butano Sandstone: Middle siltstone member,Butano Sandstone,Eocene,"Thin- to medium-bedded, nodular, olive-gray pyritic siltstone. Thickness about 700 ft (Clark, 1981, p. 8)",,{sedimentary}
30007,21,Redwood and Poul Creek Formations,Redwood Formation; Poul Creek Formation,"Tertiary, Miocene to Eocene?","Concretionary, pyritic, glauconitic, reddish weathering, dark-gray to greenish-gray siltstone, claystone, and sandstone; subordinate dark-brown, laminated shale that is rich in organic material, silty shale, and gray calcareous sandstone; locally includes thin interbeds of basaltic tuff.  ",,{sedimentary}
26108,21,Admiralty Island and Cenotaph Volcanics,Admiralty Island Volcanics; Cenotaph Volcanics,"Tertiary, Miocene to Oligocene","Chiefly block and ash deposits, mafic to felsic tuff, tuff breccia, lapilli tuff, and unclassified pyroclastic deposits. Unsorted; gray, pink, green, white, maroon. Includes lahars, matrix supported debris flows, and turbidites with graded beds. Tuffaceous deposits altered to clay. Contains rare coaly plant material. Clasts and matrix are dominantly felsic. Sparse disseminated pyrite.",,{igneous}
26111,21,Admiralty Island and Cenotaph Volcanics,Admiralty Island Volcanics; Cenotaph Volcanics,"Tertiary, Miocene to Oligocene","Flow banded rhyolite and welded to non-welded felsic tuff. Gray to buff, altered to white, pink, or green; rusty weathering. Aphanitic to fine-grained; commonly quartz and feldspar porphyritic. Pyrite and zeolites are common. Locally banded, spherulitic, or miarolitic. Flows include breccia and obsidian. Massive rhyolite may represent plugs or domes.",,{igneous}
44684,26,lower Cherokee Group,Cherokee Group,Morrowan-lower Desmoinesian,"Lower Cherokee Group in southern, central, and western Iowa includes Kilbourn, Kalo, Floris formations (primarily Atokan-lower Desmoinesian, locally Morrowan at base); Raccoon Creek Group in eastern Iowa includes ""Caseyville"" and Tradewater formations (primarily Morrowan at most localities; locally includes Atokan-lower Desmoinesian Tradewater Formation in upper part). Primary Lithologies:  shale/mudstone, light to dark gray, part silty to sandy; sandstone, very fine to medium grained; siltstone, gray. Secondary Lithologies:  carbonaceous shale/mudstone, gray to black; phosphatic black shale; limestone, dense, part fossiliferous, part sandy; coal (beds locally 2 ft). Minor: sandstone, coarse-grained to granular, part conglomeratic; mudstone, red to pink; limestone concretions (may be septarian); cone-in-cone limestone; siderite/ironstone concretions and pellets; pyrite. Maximum thicknesses Raccoon Creek Group in Muscatine-Scott counties: 230-250 ft (70-75 m). Maximum thicknesses Lower Cherokee Group across outcrop belt: 200-370 ft (60-113 m). Maximum thickness in southwest Iowa subsurface: 650 ft (200 m).",,{sedimentary}
44688,26,Maquoketa Formation,Maquoketa Formation,upper Katian,"Includes Elgin, Clermont, Fort Atkinson, Brainard, and Neda members. Overlain by Silurian strata in east-central Iowa, incised paleovalleys beneath Mosalem Fm.; truncated beneath Devonian strata in northern-most counties. Primary lithologies: shale, green-gray, variably dolomitic, mostly unfossiliferous; dolomite, argillaceous, part shaly, variably fossiliferous (part with common trilobites); dolomite, part argillaceous, part cherty to very cherty (northern Iowa). Secondary lithologies: shale, brown to brown-gray, organic, part graptolitic, part finely laminated (lower strata); dolomitic limestone to limestone, argillaceous, part cherty to very cherty, variably fossiliferous, part crinoidal (northern Iowa); interbedded dolomite and shale, part nodular, part fossiliferous. Minor: phosphorite, granular to massive (basal unit); dolomite, phosphatic to very phosphatic, argillaceous (Elgin Mbr.); ooidal ironstone and red shale (Neda Mbr.); pyrite, finely disseminated to nodular, pyrite cements. Maximum thicknesses: generally 200-275 ft (60-85 m) beneath Silurian, locally 100-200 ft (30-60 m) beneath Mosalem Fm.; 75-180 ft (23-55 m) where capped by Devonian strata in northern Iowa.",,{sedimentary}
44698,26,upper Cherokee Group,Cherokee Group,middle Desmoinesian,"Interval includes Verdigris and Swede Hollow formations; base of map unit drawn at the widespread Whitebreast Coal. Primary Lithologies:  shale/mudstone, light to dark gray, part silty to sandy; siltstone, gray. Secondary Lithologies: limestone, part fossiliferous, part sandy; sandstone, very fine to fine-grained. Minor: mudstone, red/maroon to brown; shale, black, phosphatic; carbonaceous shale; coal (beds locally &gt; 2 ft); ironstone/siderite concretions; limestone concretions (may be septarian); pyrite. Average thickness 100 ft (30 m); maximum thicknesses to 130 ft (40 m).",,{sedimentary}
88757,265,Akaitcho Group,Akaitcho Group,Paleoproterozoic,"Sandstone, siltstone, conglomerate; within Turmoil klippe: generally finegrained, well-bedded terrigenous clastic rocks, locally pyritic, and metamorphosed to cordierite grade; within medial zone east of Wopmay Lake, the unit sits unconformably upon Tbg and comprises well-bedded quartz arenite, arkose and siltstone with minor intercalated beds of volcaniclastic sandstone.",,{sedimentary}
26138,21,Akmalik Chert and other black chert of the Lisburne Group,Akmalik Chert,Mississippian,"Bedded black chert with finely disseminated pyrite, in beds to 10 cm thick with thin siliceous shale partings, contains two laterally persistent thin micritic limestone beds to 1 m thick near base.  Locally includes underlying thin Kayak Shale, which is generally poorly exposed and not mappable at scale of map.  Well exposed at type locality on Akmalik Creek 2 km north of mountain front and in Kurupa Hills.  Contains Osagean to Morrowan or younger conodonts; in Howard Pass quad, contains Osagean conodonts.  Thickness about 75 m.",,{sedimentary}
26148,21,Akmalik Chert and other black chert of the Lisburne Group,Akmalik Chert,Mississippian,"Klippen of Endicott Mountains and De Long Mountains Subterranes and Tozitna(?) Terrane near Mount Annette:  Black, pyritic, bedded chert; rare limestone; and dolomite",,{sedimentary}
