concept_id,name,age,usage_notes,descrip,province,url,ref_id
2033,Helenmode,Early Cambrian,,"Not designated.  Named from Helenmode Mine (pyrite mine) near Sadie in Stony Creek district, Carter Co., northeastern TN (King and others, 1944).","Appalachian basin*, Piedmont-Blue Ridge province*",http://ngmdb.usgs.gov/Geolex/Units/Helenmode_2033.html,19
16789,Acacia Gap Quartzite,Orosirian,"Formal; Other new published name; Defined; Originally defined in 1962 as Acacia Gap Tongue of Masson Formation. Unit re-named and redefined by I. Crick in 1982. See also Rum Jungle Uranium Field 1:100 000 explan notes (1987). Within the Mount Partridge Group. Min deposition age (2019+/-4 Ma) as referred from ages of tuffaceous beds in the Wildman Siltstone, above Acacia Gap Quartzite Member.","Quartzite, commonly pyritic; sandstone; interbedded shale and phyllite, commonly carbonaceous.; 300.00 m thick",{NT},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=71,22
16807,Akaroa Granodiorite,Middle Devonian - Late Devonian,"Formal; Other new published name; Fully described; I-type biotite granodiorite. Age and suite derived from the 2005 1:500,000 Tasmanian Granites Map and CD (HG, O. Raymond). See also the informally named Akaroa Granite.","Medium- to coarse-grained granodiorite, medium dark gery with sparse small K-feldspar phenocrysts and rare larger ones; mineralised with mainly pyrite, pyrrhotite?-chalcopyrite and molybdenite.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=204,22
16821,Allaru Mudstone,Albian - Cenomanian,"Formal; Variation of published name; Defined; See also Allaru Formation. Laterally equivalent to Oodnadatta Formation. The name Allaru Mudstone is only used when Toolebuc Formation is present, see Strzelecki 1:250k explan notes (1995). Part of Wilgunyah Subgroup, Rolling Downs Gp, although some authors attribute it to the Maree Subgroup of the Neales River Group. See also Alluru Mudstone (a misspelling).","Primarily blue-grey mudstone (partly pyritic) and interbedded calcareous siltstone, cone-in-cone limestone and lesser sandstone (Ref: 63979).; 100.00 - 700.00 m thick",{QLD},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=291,22
16843,Andamooka Limestone,Ediacaran - Early Cambrian,Formal; Variation of published name; Described,"Limestone, grey, off-white, brown, buff, pink, recrystallised, commonly dolomitised, locally sandy or pyritic.  Intraclastic or oolitic interbeds; siliciclastics at base.  Local trilobite fragments, archaeocyatha, calcimicrobes.  Peritidal/subtidal shelf",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=416,22
16894,Arthur Creek,Middle Cambrian,"Formal; Variation of published name; Redefined; Probably only occurs in NT. Thickness: 483m in TOBERMORY. Now incorporates part of the former Sandover beds of ELKEDRA, Marqua Formation and ""Upper Hay River Formation Member 2"" of TOBERMORY.","Upper: dolostone, limestone, Lower: foetid pyritic-carbonaceous black shale, laminated dolostone. Fossiliferous.; 150.00 - 800.00 m thick",{NT},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=645,22
16984,Barney Creek,Statherian,"Formal; Other new published name; Defined; Defn on Tech File E/53-3.  Within the McArthur Group. Age: 1640+/-3 Ma; and, 1639Ma (U-Pb zircon (Southgate et al, 2000).","Dolomitic siltstone, coarse sedimentary breccias, tuffaceous horizons and organic rich pyritic shale. Finely laminated, deep water deposition.; 700.00 m thick",{NT},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=1130,22
17105,Birdrong Sandstone,Valanginian - Aptian,Formal; Variation of published name; Defined; Formerly referred to as Butte Sandstone (Clarke and Teichert (1948).,"Poorly indurated medium grained quartz sandstone, pyritic mudstone, commonly ferruginised, variably bioturbated and glauconitic.; 79.00 m thick",{WA},http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=1720,22
17240,Bowry,Neoproterozoic,"Formal; Variation of reserved name; Described; Previously referred to as part of Timbs Group. Originally reserved as Bowry Creek Member by Turner (1987).Detrital zircon maximum age 1180 Ma U-Pb SHRIMP (Turner et al., 1998).","Distinct unit of pelitic schist with amphibolite and associated pyrite-magnetite lenses, magnesite and dolomite.",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=2438,22
17277,Broadhurst,Cryogenian,Formal; Other new published name; Fully described,"Interbedded fine to coarse sandstone, siltstone, silty shale, pyritic and pyrrhotitic shale, dolomite, stromatolitic dolomite, local basalt; 3000.00 m thick",,http://dbforms.ga.gov.au/pls/www/geodx.strat_units.sch_full?wher=stratno=2592,22
