,lat,long,age,Fe_redox,count,perc
1,-30.6,-68.9,458,Ferruginous,2,1.000
2,-30.3,-68.8,458,Ferruginous,2,1.000
3,-30.3,-68.8,466,Ferruginous,4,1.000
4,-29.8,-68.7,463,Ferruginous,11,1.000
5,-29.8,-68.7,464,Ferruginous,12,1.000
6,-29.8,-68.7,467,Ferruginous,24,1.000
7,-29.4,118.6,510,Ferruginous,2,0.095
8,-29.4,118.6,511,Ferruginous,6,0.429
9,-29.4,118.6,512,Ferruginous,1,0.091
10,-29.4,118.6,514,Ferruginous,2,0.500
11,-29.4,118.6,515,Ferruginous,1,1.000
12,-29.4,118.6,517,Ferruginous,1,1.000
13,-29.4,118.6,518,Ferruginous,2,1.000
14,-29.4,118.6,519,Ferruginous,1,1.000
15,-29.4,118.6,520,Ferruginous,1,1.000
16,-29.4,118.6,521,Ferruginous,1,0.500
17,-29.4,118.6,525,Ferruginous,1,1.000
18,-29.4,118.6,527,Ferruginous,2,1.000
19,-29.4,118.6,528,Ferruginous,1,1.000
20,-29.4,118.6,531,Ferruginous,1,0.500
21,-29.4,118.6,534,Ferruginous,1,0.500
22,-29.4,118.6,536,Ferruginous,1,0.500
23,-29.4,118.6,537,Ferruginous,1,1.000
24,-29.4,118.6,538,Ferruginous,1,1.000
25,-29.4,118.6,539,Ferruginous,1,1.000
26,-29.4,118.6,540,Ferruginous,2,1.000
27,-29.4,118.6,541,Ferruginous,2,1.000
28,-29.4,118.6,543,Ferruginous,2,0.667
29,-29.4,118.6,548,Ferruginous,1,1.000
30,-29.4,118.6,549,Ferruginous,1,1.000
31,-29.4,118.6,550,Ferruginous,1,0.500
32,-28.6,132.5,770,Ferruginous,3,0.750
33,-27.5,16.7,542,Ferruginous,1,1.000
34,-26.9,16.4,549,Ferruginous,13,1.000
35,-24.6,132.3,630,Ferruginous,1,1.000
36,-24.6,132.3,635,Ferruginous,3,1.000
37,-24.6,132.3,657,Ferruginous,19,1.000
38,-24.6,132.3,660,Ferruginous,2,1.000
39,-24.6,132.3,662,Ferruginous,1,1.000
40,-24.6,132.3,666,Ferruginous,1,1.000
41,-24.6,132.3,800,Ferruginous,7,1.000
42,-24.6,132.3,825,Ferruginous,4,1.000
43,-20.4,14.3,640,Ferruginous,4,1.000
