,lat,long,age,strat,Fe_redox,count,perc
1,-30.6,-68.9,458,Las Chacritas,Ferruginous,2,1
2,-30.3,-68.8,458,Las Aguaditas,Ferruginous,2,1
3,-30.3,-68.8,466,Las Aguaditas,Ferruginous,4,1
4,-29.8,-68.7,463,Gualcamayo,Ferruginous,11,1
5,-29.8,-68.7,464,Gualcamayo,Ferruginous,12,1
6,-29.8,-68.7,467,Gualcamayo,Ferruginous,24,1
7,-29.4,118.6,510,Hetang,Ferruginous,2,0.095238095
8,-29.4,118.6,511,Hetang,Ferruginous,6,0.428571429
9,-29.4,118.6,512,Hetang,Ferruginous,1,0.090909091
10,-29.4,118.6,514,Hetang,Ferruginous,2,0.5
11,-29.4,118.6,515,Piyuancun,Ferruginous,1,1
12,-29.4,118.6,517,Piyuancun,Ferruginous,1,1
13,-29.4,118.6,518,Piyuancun,Ferruginous,2,1
14,-29.4,118.6,519,Piyuancun,Ferruginous,1,1
15,-29.4,118.6,520,Piyuancun,Ferruginous,1,1
16,-29.4,118.6,521,Piyuancun,Ferruginous,1,0.5
17,-29.4,118.6,525,Piyuancun,Ferruginous,1,1
18,-29.4,118.6,527,Piyuancun,Ferruginous,2,1
19,-29.4,118.6,528,Piyuancun,Ferruginous,1,1
20,-29.4,118.6,531,Piyuancun,Ferruginous,1,0.5
21,-29.4,118.6,534,Piyuancun,Ferruginous,1,0.5
22,-29.4,118.6,536,Piyuancun,Ferruginous,1,0.5
23,-29.4,118.6,537,Piyuancun,Ferruginous,1,1
24,-29.4,118.6,538,Piyuancun,Ferruginous,1,1
25,-29.4,118.6,539,Piyuancun,Ferruginous,1,1
26,-29.4,118.6,540,Piyuancun,Ferruginous,2,1
27,-29.4,118.6,541,Piyuancun,Ferruginous,2,1
28,-29.4,118.6,543,Piyuancun,Ferruginous,2,0.666666667
29,-29.4,118.6,548,Piyuancun,Ferruginous,1,1
30,-29.4,118.6,549,Piyuancun,Ferruginous,1,1
31,-29.4,118.6,550,Piyuancun,Ferruginous,1,0.5
32,-28.6,132.5,770,Buldya,Ferruginous,3,0.75
33,-27.5,16.7,542,Spitskopf,Ferruginous,1,1
34,-26.9,16.4,549,Kliphoek,Ferruginous,7,1
35,-26.9,16.4,549,Mara,Ferruginous,6,1
36,-24.6,132.3,630,Pertatataka,Ferruginous,1,1
37,-24.6,132.3,635,Pioneer,Ferruginous,3,1
38,-24.6,132.3,657,Aralka,Ferruginous,19,1
39,-24.6,132.3,660,Areyonga,Ferruginous,2,1
40,-24.6,132.3,662,Areyonga,Ferruginous,1,1
41,-24.6,132.3,666,Areyonga,Ferruginous,1,1
42,-24.6,132.3,800,Bitter Springs,Ferruginous,7,1
43,-24.6,132.3,825,Loves Creek,Ferruginous,4,1
44,-20.4,14.3,640,Ghaub,Ferruginous,4,1
45,-20.4,138.9,1647,Lady Loretta,Ferruginous,16,1
46,-20.2,15.1,635,Ghaub,Ferruginous,6,1
47,-20.2,15.1,637,Ghaub,Ferruginous,6,1
48,-20.2,15.1,638,Ghaub,Ferruginous,1,1
49,-20,139,590,Grant Bluff,Ferruginous,5,0.833333333
50,-20,139,610,Elyuah,Ferruginous,8,1
51,-17.9,138.2,1639,Mount Les Siltstone,Ferruginous,3,1
52,-17.9,138.4,1639,Mount Les Siltstone,Ferruginous,3,1
53,-16.9,136.2,1639,Barney Creek,Ferruginous,16,0.888888889
54,20.8,-12.9,1107,Unit I-5,Ferruginous,1,0.029411765
55,20.8,-12.8,1109,Unit I-4,Ferruginous,2,0.074074074
56,23.1,58.3,248,Al Jil,Ferruginous,1,1
57,23.1,58.3,249,Al Jil,Ferruginous,2,1
58,23.1,58.3,250,Al Jil,Ferruginous,3,1
59,23.1,58.3,251,Al Jil,Ferruginous,12,1
60,23.1,58.3,251,Member A,Ferruginous,14,1
61,23.1,58.3,251,Member B,Ferruginous,18,1
62,23.1,58.3,251,Member C,Ferruginous,8,1
63,23.1,58.3,251,Member D,Ferruginous,5,1
64,23.2,57.7,251,Member M1,Ferruginous,15,1
65,23.2,57.7,251,Member M2,Ferruginous,2,1
