,edge,span,mid,ferruginous,possible euxinic,euxinic
1,0,98,NA,0.775,0.137,0.088
2,98,98,49,0.775,0.137,0.088
3,181,83,139.5,0.319,0.308,0.373
4,182,1,181.5,0.123,0.336,0.541
5,183,1,182.5,0.124,0.335,0.541
6,184,1,183.5,0.124,0.335,0.541
7,185,1,184.5,0.149,0.309,0.541
8,186,1,185.5,0.150,0.350,0.501
9,187,1,186.5,0.150,0.352,0.498
10,188,1,187.5,0.176,0.327,0.497
11,189,1,188.5,0.191,0.317,0.492
12,204,15,196.5,0.332,0.307,0.361
13,225,21,214.5,0.562,0.217,0.220
14,240,15,232.5,0.823,0.096,0.081
15,248,8,244,0.949,0.041,0.010
16,249,1,248.5,0.982,0.018,0.000
17,250,1,249.5,0.989,0.011,0.000
18,251,1,250.5,0.989,0.011,0.000
19,252,1,251.5,0.996,0.004,0.000
20,253,1,252.5,1.000,0.000,0.000
21,254,1,253.5,1.000,0.000,0.000
22,256,2,255,1.000,0.000,0.000
23,258,2,257,1.000,0.000,0.000
24,260,2,259,1.000,0.000,0.000
25,261,1,260.5,1.000,0.000,0.000
26,276,15,268.5,0.994,0.006,0.000
27,291,15,283.5,0.864,0.095,0.041
28,292,1,291.5,0.720,0.162,0.119
29,293,1,292.5,0.699,0.177,0.124
30,294,1,293.5,0.699,0.177,0.124
31,295,1,294.5,0.699,0.177,0.124
32,296,1,295.5,0.699,0.177,0.124
33,297,1,296.5,0.699,0.177,0.124
34,299,2,298,0.699,0.177,0.124
35,315,16,307,0.699,0.155,0.147
36,330,15,322.5,0.698,0.126,0.175
37,331,1,330.5,0.689,0.136,0.175
38,341,10,336,0.633,0.189,0.178
39,352,11,346.5,0.575,0.191,0.234
40,354,2,353,0.541,0.225,0.234
41,355,1,354.5,0.537,0.228,0.235
42,356,1,355.5,0.506,0.239,0.255
43,357,1,356.5,0.471,0.231,0.298
44,358,1,357.5,0.460,0.239,0.301
45,360,2,359,0.459,0.240,0.301
46,362,2,361,0.459,0.240,0.301
47,364,2,363,0.459,0.240,0.301
48,366,2,365,0.459,0.240,0.301
49,369,3,367.5,0.459,0.240,0.301
50,370,1,369.5,0.458,0.237,0.305
51,372,2,371,0.458,0.237,0.305
52,373,1,372.5,0.458,0.236,0.306
53,374,1,373.5,0.458,0.238,0.304
54,376,2,375,0.459,0.240,0.302
55,377,1,376.5,0.459,0.240,0.301
56,379,2,378,0.459,0.240,0.301
57,380,1,379.5,0.459,0.240,0.301
58,381,1,380.5,0.459,0.240,0.301
59,382,1,381.5,0.459,0.240,0.301
60,383,1,382.5,0.459,0.240,0.301
61,384,1,383.5,0.459,0.240,0.301
62,385,1,384.5,0.459,0.240,0.301
63,386,1,385.5,0.459,0.280,0.261
64,387,1,386.5,0.470,0.296,0.234
65,388,1,387.5,0.541,0.225,0.234
66,390,2,389,0.541,0.225,0.234
67,391,1,390.5,0.541,0.225,0.234
68,392,1,391.5,0.541,0.225,0.234
