,edge,span,mid,ferruginous,possible euxinic,euxinic
2,545,10,540,0.915,0.044,0.041
3,555,10,550,0.915,0.044,0.041
4,565,10,560,0.623,0.077,0.300
5,575,10,570,0.768,0.088,0.145
6,585,10,580,0.826,0.052,0.122
7,595,10,590,0.826,0.062,0.112
8,605,10,600,0.898,0.050,0.053
9,615,10,610,0.968,0.024,0.007
10,625,10,620,1.000,0.000,0.000
11,635,10,630,0.944,0.025,0.031
12,645,10,640,0.932,0.041,0.026
13,655,10,650,0.916,0.054,0.031
14,665,10,660,0.915,0.055,0.031
15,685,20,675,0.929,0.049,0.023
16,720,35,702.5,0.987,0.012,0.001
17,755,35,737.5,1.000,0.000,0.000
18,775,20,765,1.000,0.000,0.000
19,785,10,780,0.998,0.002,0.000
20,795,10,790,1.000,0.000,0.000
21,805,10,800,1.000,0.000,0.000
22,815,10,810,1.000,0.000,0.000
23,825,10,820,1.000,0.000,0.000
24,835,10,830,1.000,0.000,0.000
25,845,10,840,1.000,0.000,0.000
26,860,15,852.5,1.000,0.000,0.000
27,880,20,870,0.997,0.003,0.000
28,895,15,887.5,0.992,0.007,0.001
29,935,40,915,0.997,0.002,0.001
30,985,50,960,1.000,0.000,0.000
31,1025,40,1005,1.000,0.000,0.000
32,1065,40,1045,1.000,0.000,0.000
33,1090,25,1077.5,0.852,0.084,0.064
34,1105,15,1097.5,0.656,0.157,0.187
35,1125,20,1115,0.640,0.161,0.199
36,1185,60,1155,0.633,0.158,0.209
37,1280,95,1232.5,0.695,0.138,0.167
38,1380,100,1330,0.856,0.074,0.070
39,1450,70,1415,0.939,0.040,0.021
40,1485,35,1467.5,0.953,0.037,0.011
41,1525,40,1505,0.959,0.036,0.006
42,1585,60,1555,0.969,0.031,0.000
43,1625,40,1605,0.969,0.031,0.000
44,1635,10,1630,0.969,0.031,0.000
45,1645,10,1640,0.969,0.031,0.000
46,1655,10,1650,0.969,0.031,0.000
47,1665,10,1660,0.969,0.031,0.000
48,1835,170,1750,0.977,0.023,0.000
