,edge,span,mid,ferruginous,euxinic
1,0,98,NA,0.567,0.433
2,98,98,49,0.567,0.433
3,182,84,140,0.316,0.684
4,183,1,182.5,0.307,0.693
5,215,32,199,0.336,0.664
6,248,33,231.5,0.765,0.235
7,249,1,248.5,0.990,0.010
8,250,1,249.5,0.990,0.010
9,251,1,250.5,0.990,0.010
10,252,1,251.5,0.990,0.010
11,253,1,252.5,0.990,0.010
12,272,19,262.5,0.927,0.073
13,291,19,281.5,0.677,0.323
14,292,1,291.5,0.622,0.378
15,293,1,292.5,0.622,0.378
16,294,1,293.5,0.622,0.378
17,295,1,294.5,0.622,0.378
18,296,1,295.5,0.622,0.378
19,297,1,296.5,0.622,0.378
20,299,2,298,0.622,0.378
21,315,16,307,0.622,0.378
22,330,15,322.5,0.622,0.378
23,331,1,330.5,0.622,0.378
24,341,10,336,0.602,0.398
25,352,11,346.5,0.486,0.514
26,354,2,353,0.456,0.544
27,355,1,354.5,0.456,0.544
28,356,1,355.5,0.456,0.544
29,358,2,357,0.456,0.544
30,360,2,359,0.456,0.544
31,362,2,361,0.456,0.544
32,364,2,363,0.456,0.544
33,367,3,365.5,0.489,0.511
34,370,3,368.5,0.542,0.458
35,371,1,370.5,0.567,0.433
36,373,2,372,0.592,0.408
37,374,1,373.5,0.607,0.393
38,376,2,375,0.579,0.421
39,377,1,376.5,0.543,0.457
40,379,2,378,0.470,0.530
41,380,1,379.5,0.384,0.616
42,381,1,380.5,0.327,0.673
43,382,1,381.5,0.293,0.707
44,383,1,382.5,0.240,0.760
45,384,1,383.5,0.234,0.766
46,385,1,384.5,0.234,0.766
47,386,1,385.5,0.234,0.766
48,387,1,386.5,0.234,0.766
49,388,1,387.5,0.234,0.766
50,398,10,393,0.267,0.733
51,407,9,402.5,0.419,0.581
52,409,2,408,0.456,0.544
53,410,1,409.5,0.456,0.544
54,411,1,410.5,0.456,0.544
55,412,1,411.5,0.456,0.544
56,415,3,413.5,0.508,0.492
57,418,3,416.5,0.583,0.417
58,420,2,419,0.622,0.378
59,421,1,420.5,0.622,0.378
60,422,1,421.5,0.629,0.371
61,423,1,422.5,0.697,0.303
62,424,1,423.5,0.747,0.253
63,425,1,424.5,0.803,0.197
64,426,1,425.5,0.835,0.165
65,427,1,426.5,0.874,0.126
66,428,1,427.5,0.878,0.122
67,429,1,428.5,0.918,0.082
68,430,1,429.5,0.917,0.083
69,431,1,430.5,0.895,0.105
70,432,1,431.5,0.874,0.126
71,433,1,432.5,0.862,0.138
72,434,1,433.5,0.825,0.175
73,435,1,434.5,0.778,0.222
74,436,1,435.5,0.745,0.255
75,437,1,436.5,0.700,0.300
76,438,1,437.5,0.652,0.348
77,440,2,439,0.615,0.385
78,442,2,441,0.612,0.388
79,444,2,443,0.623,0.377
80,445,1,444.5,0.676,0.324
81,446,1,445.5,0.696,0.304
82,447,1,446.5,0.714,0.286
83,448,1,447.5,0.748,0.252
84,450,2,449,0.763,0.237
85,452,2,451,0.767,0.233
86,454,2,453,0.787,0.213
87,455,1,454.5,0.813,0.188
88,456,1,455.5,0.821,0.179
89,457,1,456.5,0.824,0.176
90,458,1,457.5,0.825,0.175
91,459,1,458.5,0.825,0.175
92,460,1,459.5,0.825,0.175
93,462,2,461,0.825,0.175
94,463,1,462.5,0.825,0.175
95,464,1,463.5,0.825,0.175
96,465,1,464.5,0.827,0.173
97,466,1,465.5,0.828,0.172
98,469,3,467.5,0.839,0.161
99,475,6,472,0.884,0.116
100,479,4,477,0.919,0.081
101,480,1,479.5,0.919,0.081
102,481,1,480.5,0.919,0.081
103,482,1,481.5,0.919,0.081
104,483,1,482.5,0.919,0.081
105,484,1,483.5,0.921,0.079
106,485,1,484.5,0.925,0.075
107,490,5,487.5,0.923,0.077
108,494,4,492,0.919,0.081
109,496,2,495,0.919,0.081
110,497,1,496.5,0.917,0.083
111,498,1,497.5,0.903,0.097
112,508,10,503,0.918,0.082
113,518,10,513,0.952,0.048
114,520,2,519,0.952,0.048
115,524,4,522,0.952,0.048
116,529,5,526.5,0.952,0.048
117,534,5,531.5,0.933,0.067
118,536,2,535,0.926,0.074
119,537,1,536.5,0.926,0.074
120,538,1,537.5,0.926,0.074
121,540,2,539,0.924,0.076
122,542,2,541,NA,NA
