,edge,span,mid,variable,Type.5,Type.1,Type.2,Type.3,Type.4
1,0,27,NA,mean,0.643,0.000,0.004,0.281,0.072
2,0,27,NA,min,0.407,0.000,0.000,0.105,0.017
3,0,27,NA,max,0.878,0.000,0.013,0.458,0.126
4,27,27,13.5,mean,0.643,0.000,0.004,0.281,0.072
5,27,27,13.5,min,0.407,0.000,0.000,0.105,0.017
6,27,27,13.5,max,0.878,0.000,0.013,0.458,0.126
7,54,27,40.5,mean,0.231,0.001,0.028,0.556,0.184
8,54,27,40.5,min,0.020,0.000,0.008,0.431,0.114
9,54,27,40.5,max,0.441,0.006,0.047,0.681,0.254
10,70,16,62,mean,0.048,0.019,0.050,0.636,0.247
11,70,16,62,min,0.011,0.001,0.034,0.614,0.221
12,70,16,62,max,0.084,0.036,0.066,0.658,0.274
13,87,17,78.5,mean,0.019,0.053,0.066,0.599,0.262
14,87,17,78.5,min,0.011,0.029,0.049,0.563,0.242
15,87,17,78.5,max,0.028,0.077,0.084,0.635,0.283
16,92,5,89.5,mean,0.020,0.073,0.082,0.566,0.259
17,92,5,89.5,min,0.011,0.059,0.065,0.546,0.237
18,92,5,89.5,max,0.029,0.086,0.098,0.587,0.281
19,108,16,100,mean,0.051,0.068,0.093,0.561,0.227
20,108,16,100,min,0.003,0.053,0.076,0.539,0.182
21,108,16,100,max,0.099,0.083,0.110,0.582,0.273
22,128,20,118,mean,0.153,0.060,0.092,0.541,0.154
23,128,20,118,min,0.113,0.045,0.075,0.511,0.119
24,128,20,118,max,0.194,0.075,0.109,0.571,0.189
25,136,8,132,mean,0.140,0.071,0.084,0.570,0.135
26,136,8,132,min,0.085,0.050,0.068,0.543,0.102
27,136,8,132,max,0.195,0.091,0.099,0.597,0.169
28,142,6,139,mean,0.075,0.087,0.084,0.552,0.202
29,142,6,139,min,0.046,0.070,0.069,0.521,0.153
30,142,6,139,max,0.105,0.103,0.099,0.583,0.251
31,157,15,149.5,mean,0.036,0.110,0.087,0.398,0.369
32,157,15,149.5,min,0.020,0.088,0.068,0.223,0.198
33,157,15,149.5,max,0.051,0.132,0.106,0.574,0.540
34,174,17,165.5,mean,0.028,0.084,0.075,0.204,0.609
35,174,17,165.5,min,0.016,0.054,0.052,0.157,0.532
36,174,17,165.5,max,0.041,0.114,0.098,0.251,0.685
37,185,11,179.5,mean,0.020,0.175,0.062,0.379,0.365
38,185,11,179.5,min,0.012,0.104,0.048,0.208,0.128
39,185,11,179.5,max,0.028,0.245,0.076,0.549,0.601
40,196,11,190.5,mean,0.040,0.202,0.082,0.566,0.111
41,196,11,190.5,min,0.000,0.148,0.060,0.522,0.062
42,196,11,190.5,max,0.084,0.256,0.103,0.609,0.160
43,204,8,200,mean,0.261,0.098,0.143,0.374,0.124
44,204,8,200,min,0.059,0.043,0.097,0.173,0.100
45,204,8,200,max,0.464,0.153,0.188,0.576,0.147
46,228,24,216,mean,0.505,0.053,0.189,0.164,0.088
47,228,24,216,min,0.339,0.015,0.148,0.072,0.064
48,228,24,216,max,0.672,0.092,0.229,0.257,0.112
49,251,23,239.5,mean,0.113,0.155,0.185,0.466,0.081
50,251,23,239.5,min,0.000,0.105,0.114,0.278,0.052
51,251,23,239.5,max,0.257,0.204,0.257,0.653,0.110
52,261,10,256,mean,0.163,0.134,0.118,0.521,0.063
53,261,10,256,min,0.002,0.105,0.092,0.414,0.044
54,261,10,256,max,0.324,0.164,0.144,0.628,0.083
55,272,11,266.5,mean,0.431,0.088,0.108,0.343,0.031
