,edge,span,mid,variable,Type.5,Type.1,Type.2,Type.3,Type.4
1,0,27,NA,mean,0.793,0.000,0.002,0.173,0.032
2,0,27,NA,min,0.536,0.000,0.000,0.000,0.000
3,0,27,NA,max,1.000,0.000,0.007,0.369,0.090
4,27,27,13.5,mean,0.793,0.000,0.002,0.173,0.032
5,27,27,13.5,min,0.536,0.000,0.000,0.000,0.000
6,27,27,13.5,max,1.000,0.000,0.007,0.369,0.090
7,54,27,40.5,mean,0.254,0.002,0.024,0.545,0.175
8,54,27,40.5,min,0.000,0.000,0.001,0.370,0.094
9,54,27,40.5,max,0.532,0.008,0.047,0.719,0.256
10,70,16,62,mean,0.030,0.032,0.056,0.648,0.234
11,70,16,62,min,0.000,0.000,0.037,0.619,0.214
12,70,16,62,max,0.063,0.066,0.075,0.676,0.255
13,87,17,78.5,mean,0.007,0.110,0.075,0.569,0.238
14,87,17,78.5,min,0.002,0.058,0.057,0.501,0.218
15,87,17,78.5,max,0.013,0.162,0.094,0.636,0.259
16,92,5,89.5,mean,0.009,0.151,0.092,0.503,0.245
17,92,5,89.5,min,0.003,0.132,0.075,0.481,0.225
18,92,5,89.5,max,0.015,0.170,0.109,0.526,0.266
19,108,16,100,mean,0.087,0.087,0.112,0.505,0.209
20,108,16,100,min,0.000,0.016,0.090,0.468,0.153
21,108,16,100,max,0.225,0.159,0.134,0.541,0.266
22,128,20,118,mean,0.309,0.021,0.079,0.411,0.180
23,128,20,118,min,0.243,0.008,0.055,0.330,0.144
24,128,20,118,max,0.376,0.033,0.104,0.492,0.216
25,136,8,132,mean,0.173,0.041,0.074,0.576,0.135
26,136,8,132,min,0.054,0.008,0.057,0.495,0.114
27,136,8,132,max,0.293,0.074,0.091,0.657,0.156
28,142,6,139,mean,0.040,0.113,0.078,0.598,0.171
29,142,6,139,min,0.003,0.060,0.063,0.556,0.140
30,142,6,139,max,0.077,0.166,0.094,0.639,0.203
31,157,15,149.5,mean,0.009,0.246,0.082,0.362,0.302
32,157,15,149.5,min,0.001,0.164,0.027,0.083,0.092
33,157,15,149.5,max,0.016,0.328,0.136,0.641,0.511
34,174,17,165.5,mean,0.019,0.080,0.092,0.081,0.729
35,174,17,165.5,min,0.007,0.003,0.046,0.020,0.577
36,174,17,165.5,max,0.030,0.156,0.137,0.142,0.881
37,185,11,179.5,mean,0.016,0.279,0.056,0.307,0.343
38,185,11,179.5,min,0.000,0.120,0.032,0.132,0.046
39,185,11,179.5,max,0.032,0.437,0.079,0.482,0.641
40,196,11,190.5,mean,0.009,0.382,0.040,0.507,0.061
41,196,11,190.5,min,0.000,0.270,0.013,0.426,0.018
42,196,11,190.5,max,0.031,0.495,0.066,0.588,0.104
43,204,8,200,mean,0.264,0.097,0.122,0.395,0.123
44,204,8,200,min,0.000,0.000,0.086,0.183,0.089
45,204,8,200,max,0.559,0.223,0.157,0.606,0.157
46,228,24,216,mean,0.652,0.017,0.103,0.150,0.079
47,228,24,216,min,0.408,0.000,0.016,0.034,0.049
48,228,24,216,max,0.895,0.053,0.190,0.265,0.108
49,251,23,239.5,mean,0.098,0.201,0.194,0.442,0.065
50,251,23,239.5,min,0.000,0.092,0.128,0.292,0.035
51,251,23,239.5,max,0.272,0.309,0.260,0.591,0.095
52,261,10,256,mean,0.218,0.105,0.122,0.496,0.058
53,261,10,256,min,0.000,0.003,0.091,0.357,0.044
54,261,10,256,max,0.477,0.208,0.153,0.635,0.072
55,272,11,266.5,mean,0.623,0.011,0.070,0.244,0.052
56,272,11,266.5,min,0.512,0.000,0.046,0.156,0.038
57,272,11,266.5,max,0.734,0.024,0.095,0.332,0.065
58,276,4,274,mean,0.430,0.015,0.061,0.436,0.058
59,276,4,274,min,0.301,0.006,0.047,0.320,0.043
60,276,4,274,max,0.558,0.024,0.075,0.553,0.073
61,280,4,278,mean,0.198,0.030,0.056,0.638,0.078
62,280,4,278,min,0.076,0.016,0.043,0.536,0.057
63,280,4,278,max,0.320,0.045,0.069,0.740,0.098
64,283,3,281.5,mean,0.059,0.046,0.052,0.749,0.095
65,283,3,281.5,min,0.021,0.034,0.039,0.715,0.077
66,283,3,281.5,max,0.096,0.058,0.064,0.782,0.112
67,284,1,283.5,mean,0.028,0.051,0.050,0.774,0.097
68,284,1,283.5,min,0.018,0.039,0.039,0.755,0.082
69,284,1,283.5,max,0.039,0.064,0.060,0.793,0.112
70,286,2,285,mean,0.019,0.059,0.047,0.794,0.081
71,286,2,285,min,0.010,0.045,0.034,0.768,0.059
72,286,2,285,max,0.028,0.073,0.060,0.821,0.102
73,290,4,288,mean,0.009,0.104,0.037,0.815,0.036
74,290,4,288,min,0.001,0.045,0.025,0.787,0.005
75,290,4,288,max,0.017,0.162,0.048,0.843,0.067
76,292,2,291,mean,0.004,0.269,0.056,0.653,0.018
77,292,2,291,min,0.000,0.171,0.029,0.531,0.009
