"","edge","span","mid","variable","Type.5","Type.1","Type.2","Type.3","Type.4"
"1",550,20,540,"mean",0.0178350515463918,0.366701030927835,0.0377319587628866,0.521546391752577,0.0561855670103093
"2",550,20,540,"min",0,0.301548514014241,0.00110305015389741,0.445684468170459,0.00685269170676823
"3",550,20,540,"max",0.0410691367303726,0.43185354784143,0.0743608673718758,0.597408315334696,0.10551844231385
"4",565,15,557.5,"mean",0.0178350515463918,0.366701030927835,0.0377319587628866,0.521546391752577,0.0561855670103093
"5",565,15,557.5,"min",0,0.301548514014241,0.00110305015389741,0.445684468170459,0.00685269170676823
"6",565,15,557.5,"max",0.0410691367303726,0.43185354784143,0.0743608673718758,0.597408315334696,0.10551844231385
"7",575,10,570,"mean",0.0182474226804124,0.37659793814433,0.0296907216494845,0.512886597938144,0.0625773195876289
"8",575,10,570,"min",0,0.313372112129982,0,0.44357479621264,0.0149378114781946
"9",575,10,570,"max",0.0429158187717615,0.439823764158678,0.0610193065043609,0.582198399663648,0.110216827697063
"10",585,10,580,"mean",0.0190721649484536,0.392164948453608,0.0248453608247423,0.490824742268041,0.0730927835051546
"11",585,10,580,"min",0,0.323817363100908,0,0.408147962985221,0.0260118074814593
"12",585,10,580,"max",0.0463085642222769,0.460512533806308,0.054601354889704,0.573501521550862,0.12017375952885
"13",595,10,590,"mean",0.0224742268041237,0.421752577319588,0.0223711340206186,0.457938144329897,0.0754639175257732
"14",595,10,590,"min",0,0.348073048578499,0,0.384428703958872,0.0283113970972663
"15",595,10,590,"max",0.0509447631301828,0.495432106060677,0.050943298729543,0.531447584700921,0.12261643795428
"16",610,15,602.5,"mean",0.0193814432989691,0.572628865979381,0.0165463917525773,0.324587628865979,0.0668556701030928
"17",610,15,602.5,"min",0,0.431997947924515,0,0.203688873488617,0.019948325518101
"18",610,15,602.5,"max",0.0448285856543591,0.713259784034248,0.040464837500863,0.445486384243342,0.113763014688085
"19",625,15,617.5,"mean",0.00556701030927835,0.704329896907216,0.0181443298969072,0.198659793814433,0.0732989690721649
"20",625,15,617.5,"min",0,0.647512638884321,0,0.136158047981905,0.0253324761704714
"21",625,15,617.5,"max",0.0214626128918093,0.761147154930112,0.0435443143947049,0.261161539646961,0.121265461973858
"22",635,10,630,"mean",0.00175257731958763,0.669484536082474,0.0384536082474227,0.239896907216495,0.0504123711340206
"23",635,10,630,"min",0,0.601080428261195,0.00379631343233508,0.18049506002715,0.012213901768824
"24",635,10,630,"max",0.0100699935266481,0.737888643903754,0.0731109030625103,0.299298754405839,0.0886108404992172
"25",645,10,640,"mean",0.00103092783505155,0.489072164948454,0.0162886597938144,0.478453608247423,0.0151546391752577
"26",645,10,640,"min",0,0.414280557208252,0,0.411941712100722,0
"27",645,10,640,"max",0.00724765658923224,0.563863772688656,0.0418672230215769,0.544965504394123,0.0392238990077043
"28",655,10,650,"mean",0.000412371134020619,0.492680412371134,0.0192783505154639,0.468247422680412,0.0193814432989691
"29",655,10,650,"min",0,0.426869487672706,0,0.400072205347089,0
"30",655,10,650,"max",0.00447312135189551,0.558491337069562,0.0417227598941999,0.536422640013736,0.0462855096518858
"31",690,35,672.5,"mean",0.000747422680412371,0.164922680412371,0.0453350515463918,0.788737113402062,0.000257731958762887
"32",690,35,672.5,"min",0,0.0243399302793434,0.0102730576052578,0.638983607344326,0
"33",690,35,672.5,"max",0.00610079897702103,0.305505430545399,0.0803970454875257,0.938490619459798,0.00348083449132498
"34",740,50,715,"mean",0.00156701030927835,0.341814432989691,0.0357525773195876,0.607319587628866,0.0135463917525773
"35",740,50,715,"min",0,0.24952310270085,0.000502553182985643,0.517455099519162,0
"36",740,50,715,"max",0.00920340505295185,0.434105763278532,0.0710026014561896,0.69718407573857,0.0400048881775499
"37",770,30,755,"mean",0.00116838487972509,0.234158075601375,0.0416494845360825,0.697766323024055,0.0252577319587629
"38",770,30,755,"min",0,0.153625941623979,0.00471349972236124,0.617911738175662,0
"39",770,30,755,"max",0.0077153845147641,0.31469020957877,0.0785854693498037,0.777620907872448,0.0556639809590497
"40",785,15,777.5,"mean",0.00103092783505155,0.201546391752577,0.0450515463917526,0.725773195876289,0.0265979381443299
"41",785,15,777.5,"min",0,0.141388855050389,0.00779091302462968,0.659396696496248,0
"42",785,15,777.5,"max",0.00790378006872852,0.261703928454766,0.0823121797588755,0.792149695256329,0.0565101025032974
"43",810,25,797.5,"mean",0.00127147766323024,0.231340206185567,0.0503436426116839,0.694364261168385,0.022680412371134
"44",810,25,797.5,"min",0,0.154952738966191,0.00982097832991172,0.613733317894787,0
"45",810,25,797.5,"max",0.00846914858902808,0.307727673404943,0.090866306893456,0.774995204441983,0.0502349606516205
"46",905,95,857.5,"mean",0.000744558991981672,0.425383734249714,0.0822794959908362,0.478006872852234,0.0135853379152348
"47",905,95,857.5,"min",0,0.236536558045471,0.0282782124264815,0.276609539604765,0
"48",905,95,857.5,"max",0.00651054040030106,0.614230910453956,0.136280779555191,0.679404206099702,0.0363419910297646
"49",1010,105,957.5,"mean",3.74882849109653e-05,0.72776007497657,0.124451733833177,0.143936269915651,0.00381443298969072
"50",1010,105,957.5,"min",0,0.58453793360513,0.0632615184427579,0,0
"51",1010,105,957.5,"max",0.00127913586183714,0.87098221634801,0.185641949223596,0.294888885608763,0.0175596527842159
"52",1150,140,1080,"mean",2.20913107511046e-05,0.709123711340206,0.180316642120766,0.106494845360825,0.00404270986745214
"53",1150,140,1080,"min",0,0.578157461406415,0.0956213061520092,0.038833324472039,0
"54",1150,140,1080,"max",0.000975862537886036,0.840089961273997,0.265011978089522,0.17415636624961,0.0176989853096126
"55",1310,160,1230,"mean",0.00123711340206186,0.407796391752577,0.24923324742268,0.306836340206186,0.0348969072164948
"56",1310,160,1230,"min",0,0.176988106438186,0.178636567966651,0.124100367025082,0
"57",1310,160,1230,"max",0.00876170699764577,0.638604677066969,0.31982992687871,0.489572313387289,0.0816537253815347
"58",1400,90,1355,"mean",0.00690721649484536,0.170893470790378,0.214776632302405,0.542405498281787,0.0650171821305842
"59",1400,90,1355,"min",0,0.0768621307367973,0.138303197680923,0.415629323843658,0.0209240277780552
"60",1400,90,1355,"max",0.0228425631185576,0.264924810843959,0.291250066923887,0.669181672719916,0.109110336483113
"61",1455,55,1427.5,"mean",0.00542268041237113,0.102020618556701,0.144927835051546,0.688536082474227,0.0590927835051546
"62",1455,55,1427.5,"min",0,0.0474410034919941,0.0725355845381992,0.592234652007522,0.0163532978209369
"63",1455,55,1427.5,"max",0.0204952936254316,0.156600233621408,0.217320085564894,0.784837512940932,0.101832269189372
"64",1510,55,1482.5,"mean",0.00199312714776632,0.0689003436426117,0.0691408934707904,0.810721649484536,0.0492439862542955
"65",1510,55,1482.5,"min",0,0.0183965715536721,0.0128264786141602,0.729181058592263,0.00877058973074504
"66",1510,55,1482.5,"max",0.010971198164877,0.119404115731551,0.125455308327421,0.892262240376809,0.089717382777846
"67",1590,80,1550,"mean",0.00408505154639175,0.103634020618557,0.0671907216494845,0.698414948453608,0.126675257731959
"68",1590,80,1550,"min",0,0,0.0128798358409559,0.478814100748619,0.0430736989142337
"69",1590,80,1550,"max",0.0167903422987594,0.240914217509883,0.121501607458013,0.918015796158597,0.210276816549684
"70",1635,45,1612.5,"mean",0.00432989690721649,0.255257731958763,0.0772938144329897,0.548634020618557,0.114484536082474
"71",1635,45,1612.5,"min",0,0.138553251782539,0.0242976656626467,0.370325627220532,0.00253950232659525
"72",1635,45,1612.5,"max",0.0186118682185193,0.371962212134987,0.130289963203333,0.726942414016581,0.226429569838353
"73",1670,35,1652.5,"mean",0.00154639175257732,0.129407216494845,0.116082474226804,0.734716494845361,0.0182474226804124
"74",1670,35,1652.5,"min",0,0.0513473202082767,0.0596118914233481,0.638335889777537,0
"75",1670,35,1652.5,"max",0.00960827920772558,0.207467112781414,0.17255305703026,0.831097099913185,0.0465317278310892
"76",1715,45,1692.5,"mean",0.00105670103092784,0.0520360824742268,0.549123711340206,0.387912371134021,0.00987113402061856
"77",1715,45,1692.5,"min",0,0,0.0663608611628056,0,0
"78",1715,45,1692.5,"max",0.00764978472942323,0.12486494260781,1,0.810385712214232,0.0274575969365922
"79",1785,70,1750,"mean",0.00248895434462445,0.00779086892488954,0.934050073637703,0.0494256259204713,0.00624447717231222
"80",1785,70,1750,"min",0,0,0.88212254572261,0.00333843457170135,0
"81",1785,70,1750,"max",0.0129577167984471,0.0247917054895941,0.985977601552795,0.0955128172692412,0.0203075322913198
"82",1845,60,1815,"mean",0.0189690721649485,0.0672164948453608,0.735721649484536,0.171512027491409,0.0065807560137457
"83",1845,60,1815,"min",0,0,0.566150048620746,0.0846177780232379,0
"84",1845,60,1815,"max",0.0460147796821998,0.158332821651189,0.905293250348326,0.25840627695958,0.0239384918825501
"85",1870,25,1857.5,"mean",0.0329553264604811,0.143745704467354,0.623951890034364,0.179518900343643,0.0198281786941581
"86",1870,25,1857.5,"min",0,0.0825249904193601,0.555673612153611,0.115898400389989,0
"87",1870,25,1857.5,"max",0.067829702332193,0.204966418515348,0.692230167915118,0.243139400297296,0.0468417189971569
"88",1895,25,1882.5,"mean",0.0395876288659794,0.155618556701031,0.620670103092783,0.158350515463918,0.0257731958762887
"89",1895,25,1882.5,"min",0.00340338948612922,0.0945589920883079,0.549927615192167,0.0950426894660007,0
"90",1895,25,1882.5,"max",0.0757718682458295,0.216678121313754,0.6914125909934,0.221658341461834,0.0544892904868956
"91",1925,30,1910,"mean",0.0413745704467354,0.166219931271478,0.615670103092783,0.143024054982818,0.0337113402061856
"92",1925,30,1910,"min",0.00423844461507623,0.104210024992084,0.540251459210293,0.0829621811360799,0
"93",1925,30,1910,"max",0.0785106962783946,0.228229837550872,0.691088746975274,0.203085928829556,0.0675875186708907
"94",1975,50,1950,"mean",0.0412783505154639,0.215360824742268,0.57340206185567,0.125587628865979,0.0443711340206186
"95",1975,50,1950,"min",0.00560186015182353,0.142478120871141,0.492167446554236,0.0700191733423935,0.00270454825413084
"96",1975,50,1950,"max",0.0769548408791043,0.288243528613395,0.654636677157104,0.181156084389565,0.0860377197871063
"97",2085,110,2030,"mean",0.0250421743205248,0.344001874414246,0.439990627928772,0.132933458294283,0.0580318650421743
"98",2085,110,2030,"min",0,0.215695143317898,0.321114549470469,0.0761895323902509,0.0160110893680557
"99",2085,110,2030,"max",0.0557989286831594,0.472308605510593,0.558866706387076,0.189677384198315,0.100052640716293
"100",2235,150,2160,"mean",0.00925085910652921,0.576783505154639,0.250969072164948,0.121491408934708,0.0415051546391753
"101",2235,150,2160,"min",0,0.429430754083718,0.134218073136772,0.0675608713623854,0
"102",2235,150,2160,"max",0.0290926924005411,0.724136256225561,0.367720071193125,0.17542194650703,0.0837075190036893
"103",2400,165,2317.5,"mean",0.0036931473620376,0.624493632504548,0.163499090357793,0.183450576106731,0.0248635536688902
"104",2400,165,2317.5,"min",0,0.492364159444849,0.078306662129335,0,0
"105",2400,165,2317.5,"max",0.0157694579577844,0.756623105564247,0.24869151858625,0.370933465061755,0.0550835220447812
"106",2510,110,2455,"mean",0.00221180880974695,0.447788191190253,0.127985004686036,0.406157450796626,0.0158575445173383
"107",2510,110,2455,"min",0,0.269304889614728,0.0467323436604838,0.173297230202271,0
"108",2510,110,2455,"max",0.0115072324154779,0.626271492765778,0.209237665711587,0.639017671390981,0.0410708958809413
"109",2530,20,2520,"mean",0.000309278350515464,0.518814432989691,0.395257731958763,0.0819072164948454,0.00371134020618557
"110",2530,20,2520,"min",0,0.417173356411,0.267244660570193,0.0246912700428076,0
"111",2530,20,2520,"max",0.00383536690913601,0.620455509568381,0.523270803347333,0.139123162946883,0.0155927162197265
"112",2550,20,2540,"mean",0.000670103092783505,0.426185567010309,0.548350515463918,0.0232474226804124,0.00154639175257732
"113",2550,20,2540,"min",0,0.353297045995388,0.470092486359909,0,0
"114",2550,20,2540,"max",0.006169140323519,0.499074088025231,0.626608544567926,0.0546633845306334,0.00948497002509593
"115",2570,20,2560,"mean",0.00139175257731959,0.505360824742268,0.475721649484536,0.0150515463917526,0.00247422680412371
"116",2570,20,2560,"min",0,0.326518431818098,0.291879167438837,0,0
"117",2570,20,2560,"max",0.00875151051501567,0.684203217666439,0.659564131530235,0.0402693089766121,0.0124389395301049
"118",2620,50,2595,"mean",0.00237113402061856,0.675422680412371,0.27620618556701,0.0365360824742268,0.0094639175257732
"119",2620,50,2595,"min",0,0.602774597681633,0.204362961523767,0.00158284481701636,0
"120",2620,50,2595,"max",0.0125891045646336,0.748070763143109,0.348049409610254,0.0714893201314372,0.0305853595909076
"121",2670,50,2645,"mean",0.00160824742268041,0.631855670103093,0.323711340206186,0.027319587628866,0.0155051546391753
"122",2670,50,2645,"min",0,0.541849087936758,0.220837784486429,0,0
"123",2670,50,2645,"max",0.0100593408379048,0.721862252269428,0.426584895925942,0.0586443005142791,0.0441184497922046
"124",2685,15,2677.5,"mean",0.000206185567010309,0.570515463917526,0.412577319587629,0.0154639175257732,0.00123711340206186
"125",2685,15,2677.5,"min",0,0.504189445399612,0.352590987406312,0,0
"126",2685,15,2677.5,"max",0.00310732565229463,0.636841482435439,0.472563651768946,0.0393621886896661,0.00797110582208434
"127",2810,125,2747.5,"mean",0.00114988104678826,0.322640761300555,0.644242664551943,0.00610626486915147,0.0258604282315623
"128",2810,125,2747.5,"min",0,0.131527165878052,0.471438882891387,0,0
"129",2810,125,2747.5,"max",0.00817563799478059,0.513754356723058,0.817046446212499,0.0220416667330997,0.066934154067632
"130",2950,140,2880,"mean",0.000279823269513991,0.0808983799705449,0.908041237113402,0.00109720176730486,0.00968335787923417
"131",2950,140,2880,"min",0,0,0.813645169960746,0,0
"132",2950,140,2880,"max",0.00372099737858217,0.163790273492816,1,0.0075996776165263,0.0322094959284629
"133",2975,25,2962.5,"mean",5.15463917525773e-05,0.179381443298969,0.815360824742268,0.00185567010309278,0.00335051546391753
"134",2975,25,2962.5,"min",0,0.100589914326052,0.734213386839733,0,0
"135",2975,25,2962.5,"max",0.00150949851791041,0.258172972271886,0.896508262644803,0.0105666738741002,0.0148476424759937
"136",3000,25,2987.5,"mean",0,0.528384879725086,0.461512027491409,0.00429553264604811,0.00580756013745704
"137",3000,25,2987.5,"min",0,0.277898876201845,0.20489985702046,0,0
"138",3000,25,2987.5,"max",0,0.778870883248327,0.718124197962357,0.0176225468513458,0.020303787330303
"139",3110,110,3055,"mean",0.000112464854732896,0.652970946579194,0.163851921274602,0.163139643861293,0.0199250234301781
"140",3110,110,3055,"min",0,0.526816328974047,0.0337656855911801,0,0
"141",3110,110,3055,"max",0.00225519827473054,0.779125564184341,0.293938156958023,0.350954944009855,0.051996604149432
"142",3310,200,3210,"mean",0.00298969072164948,0.438541237113402,0.334381443298969,0.135520618556701,0.0885670103092784
"143",3310,200,3210,"min",0,0.221287750653334,0.1378148694767,0.0520383090604148,0.0110818806083346
"144",3310,200,3210,"max",0.0144520974911906,0.65579472357347,0.530948017121238,0.219002928052987,0.166052140010222
"145",3470,160,3390,"mean",0.0106572164948454,0.323653350515464,0.421134020618557,0.145824742268041,0.0987306701030928
"146",3470,160,3390,"min",0,0.244266930579109,0.34316032448067,0.0860825954828755,0.0396189284394329
"147",3470,160,3390,"max",0.0317044326970323,0.403039770451819,0.499107716756443,0.205566889053207,0.157842411766753
"148",3580,110,3525,"mean",0.0211855670103093,0.380386597938144,0.385360824742268,0.143762886597938,0.0693041237113402
"149",3580,110,3525,"min",0,0.311755313858594,0.316811540335422,0.0853645597678889,0.0227947000443568
"150",3580,110,3525,"max",0.0493178409485386,0.449017882017695,0.453910109149115,0.202161213427987,0.115813547378324
