,edge,span,mid,variable,Type.5,Type.1,Type.2,Type.3,Type.4
1,550,20,540,mean,0.017,0.399,0.043,0.485,0.056
2,550,20,540,min,0.008,0.377,0.031,0.460,0.043
3,550,20,540,max,0.025,0.420,0.055,0.510,0.069
4,565,15,557.5,mean,0.017,0.399,0.043,0.485,0.056
5,565,15,557.5,min,0.008,0.377,0.031,0.460,0.043
6,565,15,557.5,max,0.025,0.420,0.055,0.510,0.069
7,575,10,570,mean,0.035,0.285,0.043,0.552,0.085
8,575,10,570,min,0.024,0.262,0.031,0.528,0.070
9,575,10,570,max,0.047,0.307,0.055,0.576,0.100
10,585,10,580,mean,0.065,0.179,0.046,0.600,0.111
11,585,10,580,min,0.051,0.161,0.035,0.578,0.092
12,585,10,580,max,0.079,0.197,0.056,0.622,0.130
13,595,10,590,mean,0.091,0.124,0.039,0.633,0.112
14,595,10,590,min,0.076,0.106,0.028,0.612,0.096
15,595,10,590,max,0.107,0.143,0.051,0.654,0.128
16,610,15,602.5,mean,0.086,0.205,0.026,0.567,0.115
17,610,15,602.5,min,0.045,0.028,0.016,0.414,0.090
18,610,15,602.5,max,0.128,0.383,0.036,0.720,0.140
19,625,15,617.5,mean,0.008,0.705,0.019,0.186,0.083
20,625,15,617.5,min,0.002,0.685,0.011,0.167,0.068
21,625,15,617.5,max,0.013,0.724,0.027,0.206,0.097
22,635,10,630,mean,0.000,0.818,0.081,0.084,0.017
23,635,10,630,min,0.000,0.800,0.065,0.072,0.009
24,635,10,630,max,0.001,0.837,0.097,0.096,0.024
25,645,10,640,mean,0.001,0.278,0.003,0.710,0.008
26,645,10,640,min,0.000,0.258,0.000,0.691,0.002
27,645,10,640,max,0.004,0.297,0.006,0.730,0.014
28,655,10,650,mean,0.001,0.722,0.047,0.150,0.079
29,655,10,650,min,0.000,0.702,0.036,0.131,0.065
30,655,10,650,max,0.002,0.743,0.059,0.170,0.094
31,690,35,672.5,mean,0.000,0.092,0.013,0.894,0.000
32,690,35,672.5,min,0.000,0.000,0.000,0.618,0.000
33,690,35,672.5,max,0.001,0.330,0.053,1.000,0.000
34,740,50,715,mean,0.000,0.784,0.079,0.129,0.009
35,740,50,715,min,0.000,0.488,0.025,0.000,0.000
36,740,50,715,max,0.001,1.000,0.132,0.433,0.028
37,770,30,755,mean,0.002,0.242,0.041,0.687,0.028
38,770,30,755,min,0.000,0.137,0.026,0.574,0.018
39,770,30,755,max,0.004,0.348,0.055,0.801,0.038
40,785,15,777.5,mean,0.003,0.191,0.038,0.741,0.028
41,785,15,777.5,min,0.000,0.171,0.026,0.720,0.019
42,785,15,777.5,max,0.006,0.211,0.050,0.762,0.037
43,810,25,797.5,mean,0.003,0.208,0.040,0.724,0.024
44,810,25,797.5,min,0.000,0.182,0.028,0.696,0.013
45,810,25,797.5,max,0.007,0.234,0.053,0.753,0.034
46,905,95,857.5,mean,0.003,0.413,0.059,0.519,0.006
47,905,95,857.5,min,0.000,0.000,0.036,0.101,0.000
48,905,95,857.5,max,0.008,0.852,0.083,0.937,0.017
49,1010,105,957.5,mean,0.000,0.933,0.064,0.003,0.000
50,1010,105,957.5,min,0.000,0.846,0.000,0.000,0.000
51,1010,105,957.5,max,0.000,1.000,0.151,0.016,0.000
52,1150,140,1080,mean,0.010,0.640,0.167,0.133,0.050
53,1150,140,1080,min,0.000,0.446,0.135,0.045,0.000
54,1150,140,1080,max,0.027,0.834,0.198,0.221,0.126
55,1310,160,1230,mean,0.009,0.418,0.214,0.269,0.090
56,1310,160,1230,min,0.000,0.217,0.153,0.140,0.068
57,1310,160,1230,max,0.022,0.619,0.275,0.397,0.112
58,1400,90,1355,mean,0.041,0.148,0.233,0.472,0.106
59,1400,90,1355,min,0.025,0.078,0.173,0.353,0.088
60,1400,90,1355,max,0.056,0.219,0.293,0.591,0.124
61,1455,55,1427.5,mean,0.037,0.084,0.133,0.666,0.080
62,1455,55,1427.5,min,0.023,0.063,0.075,0.564,0.054
63,1455,55,1427.5,max,0.052,0.105,0.191,0.768,0.105
64,1510,55,1482.5,mean,0.015,0.058,0.050,0.825,0.052
65,1510,55,1482.5,min,0.000,0.033,0.022,0.760,0.039
66,1510,55,1482.5,max,0.032,0.083,0.079,0.889,0.065
67,1590,80,1550,mean,0.003,0.265,0.025,0.637,0.070
68,1590,80,1550,min,0.000,0.000,0.002,0.000,0.006
69,1590,80,1550,max,0.007,0.973,0.049,1.000,0.135
70,1635,45,1612.5,mean,0.000,0.865,0.029,0.101,0.005
71,1635,45,1612.5,min,0.000,0.540,0.002,0.000,0.000
72,1635,45,1612.5,max,0.000,1.000,0.055,0.406,0.022
73,1670,35,1652.5,mean,0.000,0.648,0.028,0.323,0.001
74,1670,35,1652.5,min,0.000,0.000,0.000,0.000,0.000
75,1670,35,1652.5,max,0.001,1.000,0.067,0.976,0.005
76,1715,45,1692.5,mean,0.000,0.104,0.665,0.230,0.002
77,1715,45,1692.5,min,0.000,0.000,0.000,0.000,0.000
78,1715,45,1692.5,max,0.001,0.380,1.000,0.641,0.005
79,1785,70,1750,mean,0.000,0.003,0.984,0.013,0.000
80,1785,70,1750,min,0.000,0.000,0.951,0.000,0.000
81,1785,70,1750,max,0.000,0.008,1.000,0.043,0.000
82,1845,60,1815,mean,0.014,0.136,0.700,0.145,0.005
83,1845,60,1815,min,0.000,0.004,0.471,0.076,0.000
84,1845,60,1815,max,0.041,0.267,0.930,0.214,0.015
85,1870,25,1857.5,mean,0.044,0.224,0.536,0.178,0.018
86,1870,25,1857.5,min,0.031,0.202,0.513,0.148,0.008
87,1870,25,1857.5,max,0.058,0.245,0.560,0.207,0.028
88,1895,25,1882.5,mean,0.057,0.214,0.558,0.144,0.026
89,1895,25,1882.5,min,0.045,0.195,0.532,0.120,0.015
90,1895,25,1882.5,max,0.070,0.233,0.585,0.168,0.036
91,1925,30,1910,mean,0.069,0.194,0.593,0.109,0.034
92,1925,30,1910,min,0.053,0.168,0.562,0.083,0.021
93,1925,30,1910,max,0.085,0.220,0.624,0.135,0.047
94,1975,50,1950,mean,0.091,0.147,0.646,0.067,0.050
95,1975,50,1950,min,0.068,0.107,0.605,0.039,0.033
96,1975,50,1950,max,0.113,0.188,0.687,0.095,0.066
97,2085,110,2030,mean,0.095,0.111,0.635,0.048,0.111
98,2085,110,2030,min,0.052,0.003,0.508,0.014,0.059
99,2085,110,2030,max,0.138,0.218,0.763,0.083,0.162
100,2235,150,2160,mean,0.011,0.599,0.254,0.084,0.052
101,2235,150,2160,min,0.000,0.327,0.121,0.018,0.000
102,2235,150,2160,max,0.038,0.870,0.388,0.149,0.130
103,2400,165,2317.5,mean,0.000,0.764,0.207,0.025,0.005
104,2400,165,2317.5,min,0.000,0.567,0.000,0.000,0.000
105,2400,165,2317.5,max,0.001,0.960,0.454,0.104,0.012
106,2510,110,2455,mean,0.000,0.372,0.035,0.566,0.026
107,2510,110,2455,min,0.000,0.000,0.000,0.160,0.007
108,2510,110,2455,max,0.001,0.745,0.154,0.972,0.045
109,2530,20,2520,mean,0.002,0.503,0.420,0.070,0.005
110,2530,20,2520,min,0.000,0.440,0.272,0.000,0.000
111,2530,20,2520,max,0.004,0.567,0.568,0.153,0.012
112,2550,20,2540,mean,0.005,0.414,0.572,0.008,0.000
113,2550,20,2540,min,0.000,0.389,0.550,0.002,0.000
114,2550,20,2540,max,0.013,0.438,0.595,0.015,0.001
115,2570,20,2560,mean,0.000,0.596,0.378,0.015,0.011
116,2570,20,2560,min,0.000,0.319,0.051,0.000,0.000
117,2570,20,2560,max,0.001,0.873,0.705,0.046,0.033
118,2620,50,2595,mean,0.083,0.325,0.251,0.266,0.076
119,2620,50,2595,min,0.011,0.207,0.180,0.186,0.008
120,2620,50,2595,max,0.155,0.442,0.321,0.345,0.144
121,2670,50,2645,mean,0.019,0.531,0.269,0.100,0.081
122,2670,50,2645,min,0.000,0.219,0.151,0.000,0.000
123,2670,50,2645,max,0.059,0.842,0.387,0.236,0.196
124,2685,15,2677.5,mean,0.000,0.905,0.095,0.000,0.000
125,2685,15,2677.5,min,0.000,0.890,0.081,0.000,0.000
126,2685,15,2677.5,max,0.000,0.919,0.110,0.000,0.000
127,2810,125,2747.5,mean,0.002,0.824,0.142,0.011,0.020
128,2810,125,2747.5,min,0.000,0.528,0.000,0.004,0.000
129,2810,125,2747.5,max,0.005,1.000,0.452,0.017,0.044
130,2950,140,2880,mean,0.001,0.354,0.584,0.010,0.050
131,2950,140,2880,min,0.000,0.000,0.000,0.000,0.000
132,2950,140,2880,max,0.003,0.966,1.000,0.025,0.111
133,2975,25,2962.5,mean,0.000,0.093,0.907,0.000,0.000
134,2975,25,2962.5,min,0.000,0.069,0.883,0.000,0.000
135,2975,25,2962.5,max,0.000,0.117,0.931,0.000,0.000
