"","edge","span","mid","micro","amb","ratio","den","num","quad","upper","lower"
"1",0,27,NA,0.70489674,0.295103265,0.704896736475516,0.320329275863707,0.252597656189418,0.338807896576303,1,0.366088839899214
"2",27,27,13.5,0.70489674,0.295103265,0.704896736475516,0.320329275863707,0.252597656189418,0.338807896576303,1,0.366088839899214
"3",54,27,40.5,0.271464559,0.728535441,0.271464559,0.284658724328389,0.235583071445214,0.24793299764647,0.51939755664647,0.0235315613535301
"4",70,16,62,0.12021028,0.87978972,0.12021028,0.0562143850236588,0.0437525035009821,0.0442712774106458,0.164481557410646,0.0759390025893542
"5",87,17,78.5,0.150022601,0.849977399,0.150022601,0.0530062593586929,0.0322471101464179,0.0332131388767166,0.183235739876717,0.116809462123283
"6",92,5,89.5,0.188413292,0.811586708,0.188413292,0.0365936251960445,0.0231569676106098,0.024161589085035,0.212574881085035,0.164251702914965
"7",108,16,100,0.225875519,0.774124481,0.225875519,0.0745823749897189,0.0548591265038136,0.0573874784671794,0.283262997467179,0.168488040532821
"8",128,20,118,0.314682244,0.685317757,0.314682243685318,0.0622077158055481,0.0439920591340334,0.0481508864609797,0.362833130146297,0.266531357224338
"9",136,8,132,0.298291796,0.701708204,0.298291796,0.0727151689534622,0.0604527025069754,0.0642261630323304,0.36251795903233,0.23406563296767
"10",142,6,139,0.259349256,0.740650744,0.259349256,0.0690979716460876,0.0370759053441043,0.0411796958158674,0.300528951815867,0.218169560184133
"11",157,15,149.5,0.254799585,0.745200416,0.2547995847452,0.251896051478601,0.0322262702888024,0.0718191560186459,0.326618740763846,0.182980428726555
"12",174,17,165.5,0.202319957,0.797680044,0.20231995679768,0.0966322922732546,0.0435309060457363,0.0477196746411872,0.250039631438867,0.154600282156493
"13",185,11,179.5,0.272514868,0.727485131,0.272514868272515,0.305740724075322,0.0752369784561025,0.112261484524474,0.384776352796989,0.160253383748041
"14",196,11,190.5,0.340041536,0.659958463,0.340041536340042,0.103961301645074,0.0761159343295208,0.0839246092513567,0.423966145591398,0.256116927088685
"15",204,8,200,0.515828141,0.484171859,0.515828141,0.290777059690528,0.213638509245425,0.261033924533706,0.776862065533706,0.254794216466294
"16",228,24,216,0.749192627,0.250807373,0.749192627,0.202488274158029,0.177712715781473,0.233656853588252,0.982849480588252,0.515535773411748
"17",251,23,239.5,0.461140909,0.53885909,0.461140909461141,0.248159504469831,0.167587613498355,0.202931812974617,0.664072722435758,0.258209096486524
"18",261,10,256,0.428401869,0.571598131,0.428401869,0.200853305131515,0.164413147426422,0.185568276766836,0.613970145766836,0.242833592233164
"19",272,11,266.5,0.641606721,0.358393278,0.641606721641607,0.0975748789466508,0.0783251816391433,0.100270545700457,0.741877267342064,0.54133617594115
"20",276,4,274,0.539299066,0.460700934,0.539299066,0.120940189292673,0.084518849006919,0.106758918045773,0.646057984045773,0.432540147954227
"21",280,4,278,0.360498443,0.639501558,0.360498442639502,0.141959777861171,0.102271904579074,0.114361505567281,0.474859948206782,0.246136937072221
"22",283,3,281.5,0.234157148,0.765842852,0.234157148,0.0616086518269417,0.0429279635138584,0.0452871128650744,0.279444260865074,0.188870035134926
"23",284,1,283.5,0.199522326,0.800477674,0.199522326,0.0357536440036336,0.0252434955874279,0.026232099322328,0.225754425322328,0.173290226677672
"24",286,2,285,0.189667705,0.810332295,0.189667705,0.0348781041418826,0.0227469711204811,0.0236893694995544,0.213357074499554,0.165978335500446
"25",290,4,288,0.194395119,0.80560488,0.194395119194395,0.0403916054603606,0.0285536812687056,0.02961360389275,0.224008723087145,0.164781515301645
"26",292,2,291,0.275856698,0.724143302,0.275856698,0.0789012170844884,0.0457912901723,0.0507008497411493,0.326557547741149,0.225155848258851
"27",293,1,292.5,0.375981309,0.624018692,0.375981308624019,0.0354688865750663,0.0266143785131389,0.0297685134518888,0.405749822075907,0.34621279517213
