"","edge","span","mid","micro","amb","ratio","den","num","quad","upper","lower"
"1",550,20,540,0.416,0.585,0.415584415584416,0.035171010790138,0.0237486841740759,0.0278583886304936,0.443442804214909,0.387726026953922
"2",565,15,557.5,0.416,0.585,0.415584415584416,0.035171010790138,0.0237486841740759,0.0278583886304936,0.443442804214909,0.387726026953922
"3",575,10,570,0.405,0.595,0.405,0.0374833296279826,0.0251594912508183,0.0293846069396887,0.434384606939689,0.375615393060311
"4",585,10,580,0.409,0.592,0.408591408591409,0.0323264597504892,0.0220907220343745,0.025712577021116,0.434303985612525,0.382878831570293
"5",595,10,590,0.452,0.548,0.452,0.0372827037646145,0.0245967477524977,0.0298158105709035,0.481815810570904,0.422184189429097
"6",610,15,602.5,0.604,0.396,0.604,0.172362989066679,0.130629246342463,0.16703987112064,0.77103987112064,0.43696012887936
"7",625,15,617.5,0.737,0.264,0.736263736263736,0.0307733651068582,0.0194422220952236,0.0298257235429197,0.766089459806656,0.706438012720817
"8",635,10,630,0.704,0.296,0.704,0.037107950630559,0.0269072480941474,0.0375028429855658,0.741502842985566,0.666497157014434
"9",645,10,640,0.492,0.508,0.492,0.0359722114972099,0.0275862284482675,0.032775460576474,0.524775460576474,0.459224539423526
"10",655,10,650,0.5,0.499,0.500500500500501,0.0353694783676548,0.0243721152139079,0.0301528426213009,0.530653343121801,0.4703476578792
"11",690,35,672.5,0.204,0.797,0.203796203796204,0.17678235206038,0.121930307963197,0.127014583495535,0.330810787291739,0.0767816203006683
"12",740,50,715,0.361,0.639,0.361,0.0878122998218359,0.0639609255717895,0.0713856094111411,0.432385609411141,0.289614390588859
"13",770,30,755,0.267,0.733,0.267,0.0586941223633168,0.0424617474911243,0.0452613588505692,0.312261358850569,0.221738641149431
"14",785,15,777.5,0.244,0.757,0.243756243756244,0.0342052627529741,0.0242074368738204,0.0255775085252536,0.269333752281497,0.21817873523099
"15",810,25,797.5,0.279,0.721,0.279,0.0719583212700241,0.0497694685525172,0.0536661969772407,0.332666196977241,0.225333803022759
"16",905,95,857.5,0.501,0.5,0.500499500499501,0.271333742833434,0.18513238506539,0.229370917833114,0.729870418332615,0.271128582666386
"17",1010,105,957.5,0.855,0.145,0.855,0.170988303693557,0.111946415753252,0.184133044087692,1,0.670866955912308
"18",1150,140,1080,0.891,0.109,0.891,0.118907527095639,0.110639052779749,0.153185128060788,1,0.737814871939212
"19",1310,160,1230,0.659,0.341,0.659,0.275613860319107,0.21633769898009,0.282473516640056,0.941473516640056,0.376526483359944
"20",1400,90,1355,0.386,0.615,0.385614385614386,0.141654509282267,0.0852408352845044,0.101140072809322,0.486754458423708,0.284474312805063
"21",1455,55,1427.5,0.242,0.757,0.242242242242242,0.0923904756996087,0.0504975246918104,0.0552902756591733,0.297532517901416,0.186951966583069
"22",1510,55,1482.5,0.136,0.864,0.136,0.0652226954364813,0.0391024295920343,0.0400959098163391,0.176095909816339,0.0959040901836609
"23",1590,80,1550,0.173,0.827,0.173,0.270856050329322,0.135295971854302,0.143180589560876,0.316180589560876,0.0298194104391241
"24",1635,45,1612.5,0.336,0.664,0.336,0.233715639185742,0.115710846509737,0.139841761316139,0.475841761316139,0.196158238683861
"25",1670,35,1652.5,0.253,0.747,0.253,0.114843371598016,0.0707389567353096,0.0764736209486644,0.329473620948664,0.176526379051336
"26",1715,45,1692.5,0.62,0.379,0.620620620620621,0.620382140297414,0.44503258307679,0.589058174747928,1,0.0315624458726922
"27",1785,70,1750,0.962,0.037,0.962962962962963,0.0543874985635486,0.0430464865000618,0.0678612717336482,1,0.895101691229315
"28",1845,60,1815,0.83,0.169,0.830830830830831,0.188167478592875,0.178204938203182,0.237297921682645,1,0.593532909148186
"29",1870,25,1857.5,0.81,0.191,0.809190809190809,0.0438976081352959,0.0350713558335004,0.049867863239678,0.859058672430487,0.759322945951131
"30",1895,25,1882.5,0.82,0.18,0.82,0.0401621712560464,0.0320624390837628,0.0459628241081855,0.865962824108186,0.774037175891815
"31",1925,30,1910,0.825,0.175,0.825,0.0454532727094541,0.0388458491991101,0.0539923258435864,0.878992325843586,0.771007674156414
"32",1975,50,1950,0.822,0.177,0.822822822822823,0.0679926466612383,0.0635845893279181,0.0847780120383511,0.907600834861174,0.738044810784472
"33",2085,110,2030,0.801,0.199,0.801,0.150059988004798,0.148114820325314,0.190750023114022,0.991750023114022,0.610249976885978
"34",2235,150,2160,0.83,0.17,0.83,0.159803003726463,0.156473639952549,0.20512542333899,1,0.62487457666101
"35",2400,165,2317.5,0.78,0.221,0.779220779220779,0.216245231161291,0.127925759720238,0.211349955662224,0.990570734883003,0.567870823558556
"36",2510,110,2455,0.593,0.407,0.593,0.283848551167696,0.180180465089865,0.246571206611802,0.839571206611802,0.346428793388198
"37",2530,20,2520,0.921,0.08,0.92007992007992,0.149254815667703,0.142839070285409,0.197947274320321,1,0.722132645759599
"38",2550,20,2540,0.974,0.026,0.974,0.0641404708432983,0.0614328902136306,0.087617652696246,1,0.886382347303754
"39",2570,20,2560,0.981,0.018,0.981981981981982,0.216013888442387,0.215745220109276,0.302861343718413,1,0.679120638263569
"40",2620,50,2595,0.954,0.047,0.953046953046953,0.0558748601787959,0.0528866712887093,0.0749763920198293,1,0.878070561027124
"41",2670,50,2645,0.961,0.04,0.96003996003996,0.0979744864747961,0.0954882191686493,0.133900329932568,1,0.826139630107392
"42",2685,15,2677.5,0.984,0.016,0.984,0.0334215499341368,0.032542280190546,0.0462659913111132,1,0.937734008688887
"43",2810,125,2747.5,0.964,0.036,0.964,0.222411780263546,0.220431395223094,0.307505260494841,1,0.656494739505159
"44",2950,140,2880,0.989,0.011,0.989,0.129336769713798,0.128428968694761,0.181262263276171,1,0.807737736723829
"45",2975,25,2962.5,0.993,0.007,0.993,0.0906476695784288,0.0905096679918781,0.127649381639709,1,0.865350618360291
"46",3000,25,2987.5,0.987,0.013,0.987,0.318339441477175,0.318226334548227,0.447202735300222,1,0.539797264699779
"47",3110,110,3055,0.811,0.188,0.811811811811812,0.242730303011387,0.161211041805454,0.254849086058882,1,0.55696272575293
"48",3310,200,3210,0.767,0.234,0.766233766233766,0.292926611969619,0.274098522433084,0.353917052287069,1,0.412316713946697
"49",3470,160,3390,0.748,0.252,0.748,0.0700999286732875,0.0531977443130815,0.0746953991621974,0.822695399162197,0.673304600837803
"50",3580,110,3525,0.784,0.216,0.784,0.0481975103091436,0.0413521462562707,0.05601647871832,0.84001647871832,0.72798352128168
