,Location,Age.Ma,clusters,count,perc,Lat,Long,Phrase,Source,Notes
1,"
Pilbara Warrawoona, Aus.",3515,Type.2,15,0.25,-21.6939331,121.6385886,Pilbara,Google Earth,NA
2,"
Pilbara Warrawoona, Aus.",3515,Type.1,45,0.75,-21.6939331,121.6385886,Pilbara,Google Earth,NA
3,"Aberystwyth, Wales",436,Type.2,1,0.045454545,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
4,"Aberystwyth, Wales",436,Type.1,18,0.818181818,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
5,"Aberystwyth, Wales",436,Type.3,3,0.136363636,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
6,"Aberystwyth, Wales",441,Type.1,13,0.209677419,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
7,"Aberystwyth, Wales",441,Type.3,46,0.741935484,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
8,"Aberystwyth, Wales",441,Type.4,3,0.048387097,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
9,"Aberystwyth, Wales",445,Type.2,1,0.1,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
10,"Aberystwyth, Wales",445,Type.1,6,0.6,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
11,"Aberystwyth, Wales",445,Type.3,3,0.3,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
12,"Aberystwyth, Wales",450,Type.2,1,0.125,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
13,"Aberystwyth, Wales",450,Type.1,5,0.625,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
14,"Aberystwyth, Wales",450,Type.3,2,0.25,52.4144683,-4.0776408,Aberystwyth,Google Earth,NA
15,"Adelaidian Basin, Aus.",625,Type.1,30,0.967741935,-40.8453519,145.1365296,Smithton,Google Earth,NA
16,"Adelaidian Basin, Aus.",625,Type.3,1,0.032258065,-40.8453519,145.1365296,Smithton,Google Earth,NA
17,"Adelaidian Basin, Aus.",630,Type.2,2,0.1,-40.8453519,145.1365296,Unknown (assumed Smithton),Google Earth,NA
18,"Adelaidian Basin, Aus.",630,Type.1,18,0.9,-40.8453519,145.1365296,Unknown (assumed Smithton),Google Earth,NA
19,"Adelaidian Basin, Aus.",631,Type.1,18,1,-25.1184933,132.5689501,Near to Imanpa,Google Earth,NA
20,"Adelaidian Basin, Aus.",633,Type.1,10,1,-25.1184933,132.5689501,Near to Imanpa,Google Earth,NA
21,"Adelaidian Basin, Aus.",635,Type.2,2,0.222222222,-25.1184933,132.5689501,Near to Imanpa (assumed),Google Earth,NA
22,"Adelaidian Basin, Aus.",635,Type.1,7,0.777777778,-25.1184933,132.5689501,Near to Imanpa (assumed),Google Earth,NA
23,"Adelaidian Basin, Aus.",637,Type.1,10,1,-25.1184933,132.5689501,Near to Imanpa (assumed),Google Earth,NA
24,"Adelaidian Basin, Aus.",638,Type.2,1,0.090909091,-40.8453519,145.1365296,Smithton,Google Earth,NA
25,"Adelaidian Basin, Aus.",638,Type.1,10,0.909090909,-40.8453519,145.1365296,Smithton,Google Earth,NA
26,"Adelaidian Basin, Aus.",639.5,Type.1,11,0.916666667,-40.8453519,145.1365296,Smithton,Google Earth,NA
27,"Adelaidian Basin, Aus.",639.5,Type.3,1,0.083333333,-40.8453519,145.1365296,Smithton,Google Earth,NA
28,"Adelaidian Basin, Aus.",641,Type.3,11,1,-40.8453519,145.1365296,Smithton,Google Earth,NA
29,"Adelaidian Basin, Aus.",642,Type.1,2,0.166666667,-40.8453519,145.1365296,Smithton,Google Earth,NA
30,"Adelaidian Basin, Aus.",642,Type.3,10,0.833333333,-40.8453519,145.1365296,Smithton,Google Earth,NA
31,"Adelaidian Basin, Aus.",643,Type.1,14,1,-40.8453519,145.1365296,Smithton,Google Earth,NA
32,"Adelaidian Basin, Aus.",645,Type.1,27,0.710526316,-40.8453519,145.1365296,Smithton,Google Earth,NA
33,"Adelaidian Basin, Aus.",645,Type.3,11,0.289473684,-40.8453519,145.1365296,Smithton,Google Earth,NA
34,"Adelaidian Basin, Aus.",646,Type.2,1,0.1,-40.8453519,145.1365296,Smithton,Google Earth,NA
35,"Adelaidian Basin, Aus.",646,Type.1,1,0.1,-40.8453519,145.1365296,Smithton,Google Earth,NA
36,"Adelaidian Basin, Aus.",646,Type.3,8,0.8,-40.8453519,145.1365296,Smithton,Google Earth,NA
37,"Adelaidian Basin, Aus.",647,Type.1,11,1,-40.8453519,145.1365296,Smithton,Google Earth,NA
38,"Adelaidian Basin, Aus.",657,Type.1,11,1,-40.8453519,145.1365296,Smithton,Google Earth,NA
39,"Adelaidian Basin, Aus.",659,Type.3,11,1,-40.8453519,145.1365296,Smithton,Google Earth,NA
40,"Adelaidian Basin, Aus.",660,Type.1,5,0.454545455,-40.8453519,145.1365296,Smithton,Google Earth,NA
41,"Adelaidian Basin, Aus.",660,Type.3,6,0.545454545,-40.8453519,145.1365296,Smithton,Google Earth,NA
42,"Alum Shale, Sweden",490,Type.5,1,0.018867925,55.4787,14.2979,Alum Shale,SGP,NA
43,"Alum Shale, Sweden",490,Type.2,18,0.339622642,55.4787,14.2979,Alum Shale,SGP,NA
44,"Alum Shale, Sweden",490,Type.3,6,0.113207547,55.4787,14.2979,Alum Shale,SGP,NA
45,"Alum Shale, Sweden",490,Type.4,28,0.528301887,55.4787,14.2979,Alum Shale,SGP,NA
46,"Amadius Basin, Aus.",657,Type.3,26,1,-25.1184933,132.5689501,Near to Imanpa (assumed),Google Earth,NA
47,"Amardius Basin, Aus.",630,Type.1,2,0.2,-25.1184933,132.5689501,Near to Imanpa (assumed),Google Earth,NA
48,"Amardius Basin, Aus.",630,Type.3,8,0.8,-25.1184933,132.5689501,Near to Imanpa (assumed),Google Earth,NA
49,"Anna Shale, USA",310,Type.5,23,1,41.06861,-93.80833,Anna Shale,SGP,NA
50,Bakken Fm. USA,357,Type.3,12,0.52173913,47.11567,-103.38982,Bakken Shale,SGP,NA
51,Bakken Fm. USA,357,Type.4,11,0.47826087,47.11567,-103.38982,Bakken Shale,SGP,NA
52,"Balaklava, Ukraine",131,Type.5,8,0.228571429,44.5349485,33.682572,Balaklava,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
53,"Balaklava, Ukraine",131,Type.3,10,0.285714286,44.5349485,33.682572,Balaklava,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
54,"Balaklava, Ukraine",131,Type.4,17,0.485714286,44.5349485,33.682572,Balaklava,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
55,Barnery Ck Fm. Aus.,1640,Type.2,9,0.126760563,-16.1721234,136.151713,Near McArthur,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
56,Barnery Ck Fm. Aus.,1640,Type.3,62,0.873239437,-16.1721234,136.151713,Near McArthur,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
57,"Bendigo, Aus",470,Type.1,8,1,-36.7561799,144.280152,Bendigo,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
58,"Bentong, Malaysia",205,Type.5,65,1,3.414646,102.0466376,Bentong,Google Earth,Note discrepancy between quoted Location and additional descriptions in Mukherjee and Large - Ukraine or Australia?
59,"Black Flags, Aus",2680,Type.1,44,1,-31.2531267,119.3388552,"In Yilgarn Craton, near Southern Cross",http://www.ga.gov.au/webtemp/image_cache/GA15820.pdf,NA
60,"Black Flags, Aus",2692,Type.2,22,0.785714286,-31.2531267,119.3388552,"In Yilgarn Craton, near Southern Cross",http://www.ga.gov.au/webtemp/image_cache/GA15820.pdf,NA
61,"Black Flags, Aus",2692,Type.1,6,0.214285714,-31.2531267,119.3388552,"In Yilgarn Craton, near Southern Cross",http://www.ga.gov.au/webtemp/image_cache/GA15820.pdf,NA
62,"Blake River Gp., Canada",2694,Type.2,22,0.47826087,48.008,-80.964,Blake River,SGP,NA
63,"Blake River Gp., Canada",2694,Type.1,24,0.52173913,48.008,-80.964,Blake River,SGP,NA
64,"Boston, USA",555,Type.1,21,1,42.31435,-70.970284,Boston,Google Earth,NA
65,"Browse Basin, Aus",140,Type.1,1,0.038461538,-14.8225298,122.5561343,Browse Basin,http://www.ga.gov.au/scientific-topics/energy/province-sedimentary-basin-geology/petroleum/offshore-northwest-australia/browse,NA
66,"Browse Basin, Aus",140,Type.3,19,0.730769231,-14.8225298,122.5561343,Browse Basin,http://www.ga.gov.au/scientific-topics/energy/province-sedimentary-basin-geology/petroleum/offshore-northwest-australia/browse,NA
67,"Browse Basin, Aus",140,Type.4,6,0.230769231,-14.8225298,122.5561343,Browse Basin,http://www.ga.gov.au/scientific-topics/energy/province-sedimentary-basin-geology/petroleum/offshore-northwest-australia/browse,NA
68,"Browse Basin, Aus",145,Type.2,1,0.0625,-14.8225298,122.5561343,Browse Basin,http://www.ga.gov.au/scientific-topics/energy/province-sedimentary-basin-geology/petroleum/offshore-northwest-australia/browse,NA
69,"Browse Basin, Aus",145,Type.3,12,0.75,-14.8225298,122.5561343,Browse Basin,http://www.ga.gov.au/scientific-topics/energy/province-sedimentary-basin-geology/petroleum/offshore-northwest-australia/browse,NA
