"","framboids","nodules","min","undif","seds","Wilkin.one","Wilkin.three","Wilkin.five","Wilkin.all","Age"
"1",2,1,3,67,2342,2,11,17,255,0
"2",2,0,1,40,903,1,5,10,143,1
"3",1,0,1,35,522,2,13,17,224,2
"4",1,2,3,29,460,2,17,18,125,3
"5",3,2,4,57,602,6,20,22,209,4
"6",3,3,4,54,563,6,23,25,167,5
"7",3,2,4,55,604,7,21,23,167,6
"8",3,1,4,44,614,7,21,32,183,7
"9",3,0,4,44,603,7,17,26,167,8
"10",3,0,4,44,645,7,16,21,162,9
"11",4,0,4,47,647,13,22,27,182,10
"12",7,0,4,53,618,14,24,27,179,11
"13",12,0,3,58,638,21,27,32,183,12
"14",9,0,2,59,601,18,30,38,189,13
"15",22,1,2,61,622,12,24,33,176,14
"16",8,0,2,57,673,6,16,27,165,15
"17",7,3,4,62,695,6,20,31,194,16
"18",4,0,4,60,666,5,13,24,166,17
"19",4,0,5,61,673,5,11,22,170,18
"20",4,0,3,54,641,4,9,23,165,19
"21",4,1,3,56,653,4,9,23,164,20
"22",4,2,3,74,647,4,12,23,154,21
"23",1,0,3,65,577,4,16,28,209,22
"24",1,0,3,86,601,4,14,25,147,23
"25",1,1,3,80,599,4,15,24,141,24
"26",1,1,4,74,583,5,14,23,144,25
"27",0,2,2,70,614,5,17,26,162,26
"28",0,2,2,68,570,5,14,24,150,27
"29",0,2,2,69,590,3,9,17,136,28
"30",0,5,2,70,593,7,13,20,142,29
"31",0,2,2,69,574,2,12,19,132,30
"32",1,2,3,83,604,5,14,21,137,31
"33",10,5,3,66,582,2,11,18,130,32
"34",12,7,4,78,633,2,12,25,197,33
"35",12,13,3,75,719,1,23,31,154,34
"36",9,12,3,67,626,1,18,26,124,35
"37",9,13,3,75,691,1,28,36,139,36
"38",3,12,4,66,650,7,23,33,145,37
"39",2,14,3,74,681,7,28,37,150,38
"40",3,15,5,88,711,1,25,41,162,39
"41",3,15,5,89,716,1,22,43,166,40
"42",3,16,5,91,710,1,27,46,156,41
"43",5,17,6,78,677,1,23,42,176,42
"44",6,17,6,78,674,1,15,29,142,43
"45",6,17,6,79,673,1,15,28,142,44
"46",8,15,3,82,710,1,20,33,155,45
"47",8,15,3,78,678,1,19,31,145,46
"48",7,18,3,77,652,1,16,31,155,47
"49",7,18,3,76,650,1,11,24,142,48
"50",4,22,6,68,634,1,11,25,155,49
"51",4,22,6,72,635,1,7,21,140,50
"52",4,23,7,73,627,1,7,21,134,51
"53",4,23,7,82,634,1,7,21,130,52
"54",4,19,5,79,632,1,7,21,148,53
"55",4,20,5,79,634,1,6,20,133,54
"56",3,18,4,58,563,2,8,32,174,55
"57",2,17,2,62,547,2,5,24,140,56
"58",2,3,2,59,561,3,6,35,140,57
"59",2,3,2,69,530,4,6,37,117,58
"60",2,3,2,69,528,4,6,33,105,59
"61",2,3,2,69,523,4,6,34,106,60
"62",2,3,2,69,535,5,7,39,115,61
"63",1,10,2,73,530,5,7,32,120,62
"64",1,2,1,61,507,4,6,30,99,63
"65",1,2,2,58,478,4,6,30,104,64
"66",2,7,7,70,556,6,10,31,171,65
"67",2,8,7,69,574,6,8,18,123,66
"68",2,8,8,75,609,8,11,35,157,67
"69",2,8,8,79,611,8,11,29,148,68
"70",2,8,8,84,610,8,11,29,141,69
"71",12,7,9,102,645,9,12,30,186,70
"72",10,13,9,110,706,8,11,22,210,71
"73",10,13,9,103,698,8,11,20,192,72
"74",5,13,9,106,715,8,12,21,194,73
"75",3,13,9,102,672,10,20,29,213,74
"76",4,13,9,108,700,9,18,22,200,75
"77",4,13,9,108,698,9,18,22,198,76
"78",4,13,9,109,700,9,17,21,198,77
"79",4,11,9,99,670,9,18,22,200,78
"80",4,11,9,96,665,11,20,24,204,79
"81",4,9,9,93,661,11,20,24,218,80
"82",5,9,9,94,671,11,19,23,202,81
"83",5,9,9,93,656,11,19,23,194,82
