,edge,span,mid,variable,Type.5,Type.1,Type.2,Type.3,Type.4
1,0,27,NA,mean,0.701489943,4.62E-06,0.003402177,0.240952271,0.054150994
2,0,27,NA,min,0.448995527,0,0,0.053483264,0
3,0,27,NA,max,0.953984359,0.000142789,0.01062206,0.428421278,0.114654221
4,27,27,13.5,mean,0.701489943,4.62E-06,0.003402177,0.240952271,0.054150994
5,27,27,13.5,min,0.448995527,0,0,0.053483264,0
6,27,27,13.5,max,0.953984359,0.000142789,0.01062206,0.428421278,0.114654221
7,54,27,40.5,mean,0.242984885,0.001548402,0.026931272,0.551815699,0.176719742
8,54,27,40.5,min,0.008450523,0,0.005284185,0.409835121,0.103420894
9,54,27,40.5,max,0.477519247,0.006490088,0.048578358,0.693796278,0.250018589
10,70,16,62,mean,0.045106438,0.020919652,0.05418419,0.640245976,0.239543744
11,70,16,62,min,0.009751898,0.002586217,0.036067258,0.615726128,0.214155703
12,70,16,62,max,0.080460978,0.039253087,0.072301122,0.664765824,0.264931784
13,87,17,78.5,mean,0.019182701,0.056793721,0.074046179,0.596671553,0.253305846
14,87,17,78.5,min,0.010726047,0.032011137,0.055226385,0.559962084,0.232758283
15,87,17,78.5,max,0.027639355,0.081576305,0.092865973,0.633381022,0.273853408
16,92,5,89.5,mean,0.020261682,0.077499481,0.090652129,0.563804777,0.247781931
17,92,5,89.5,min,0.012080689,0.063859372,0.073821683,0.54480646,0.226760224
18,92,5,89.5,max,0.028442676,0.09113959,0.107482575,0.582803094,0.268803639
19,108,16,100,mean,0.052271547,0.072576584,0.101027388,0.561293484,0.212830997
20,108,16,100,min,0.002320116,0.057573704,0.084018809,0.540044524,0.166989001
21,108,16,100,max,0.102222979,0.087579464,0.118035968,0.582542444,0.258672993
22,128,20,118,mean,0.152489097,0.065701454,0.096491693,0.540676532,0.144641225
23,128,20,118,min,0.11491268,0.05116803,0.078825517,0.510254935,0.112876069
24,128,20,118,max,0.190065514,0.080234878,0.114157868,0.571098128,0.176406381
25,136,8,132,mean,0.134826064,0.075268692,0.08819704,0.573173676,0.128534528
26,136,8,132,min,0.080221271,0.054087971,0.073222966,0.546762242,0.097950173
27,136,8,132,max,0.189430857,0.096449412,0.103171115,0.59958511,0.159118882
28,142,6,139,mean,0.07118207,0.094678089,0.093489097,0.551763586,0.188887158
29,142,6,139,min,0.043295743,0.0761658,0.07754323,0.516618825,0.142360255
30,142,6,139,max,0.099068397,0.113190379,0.109434963,0.586908347,0.235414061
31,157,15,149.5,mean,0.036125303,0.118040845,0.100633437,0.388854275,0.356346141
32,157,15,149.5,min,0.022192898,0.096264151,0.081392954,0.208701423,0.183262235
33,157,15,149.5,max,0.050057708,0.139817539,0.11987392,0.569007127,0.529430046
34,174,17,165.5,mean,0.032831837,0.088982958,0.080505162,0.19471871,0.602961334
