"","edge","span","mid","variable","Type.5","Type.1","Type.2","Type.3","Type.4"
"1",550,20,540,NA,NA,NA,NA,NA,NA
"2",565,15,557.5,"mean",0.016552440290758,0.398899273104881,0.0429802699896158,0.485285565939772,0.056282450674974
"3",565,15,557.5,"min",0.00817290122237306,0.377376689071551,0.0306460931810207,0.46037384268455,0.0431905322966335
"4",565,15,557.5,"max",0.024931979359143,0.420421857138211,0.0553144467982109,0.510197289194994,0.0693743690533146
"5",575,10,570,"mean",0.0353686396677051,0.284558670820353,0.0427414330218069,0.552076843198338,0.0852544132917965
"6",575,10,570,"min",0.0237814781025894,0.262012954663266,0.0309201291356062,0.527744952011351,0.0704404219437864
"7",575,10,570,"max",0.0469558012328208,0.30710438697744,0.0545627369080075,0.576408734385326,0.100068404639807
"8",585,10,580,"mean",0.0649740394600208,0.178930425752856,0.0456905503634476,0.599854620976116,0.11055036344756
"9",585,10,580,"min",0.0508072277952135,0.160724869542013,0.0349333279867981,0.577942441398364,0.0915950969093128
"10",585,10,580,"max",0.079140851124828,0.197135981963699,0.056447772740097,0.621766800553869,0.129505629985807
"11",595,10,590,"mean",0.0913811007268951,0.124205607476636,0.0391381100726895,0.633457943925234,0.111817237798546
"12",595,10,590,"min",0.0757360498901387,0.105861299208304,0.0277142519963908,0.612466286653067,0.0957249888058275
"13",595,10,590,"max",0.107026151563652,0.142549915744967,0.0505619681489882,0.6544496011974,0.127909486791265
"14",610,15,602.5,"mean",0.0862980269989616,0.20527518172378,0.0260903426791277,0.567097611630322,0.115238836967809
"15",610,15,602.5,"min",0.0446806733303752,0.0279008774461526,0.0161903141358908,0.414197907690897,0.090460251890108
"16",610,15,602.5,"max",0.127915380667548,0.382649486001407,0.0359903712223647,0.719997315569747,0.14001742204551
"17",625,15,617.5,"mean",0.00766355140186916,0.704610591900312,0.0190134994807892,0.186188992731049,0.0825233644859813
"18",625,15,617.5,"min",0.00199483423396191,0.684900366162917,0.0107339957907619,0.166676310100045,0.067688932344647
"19",625,15,617.5,"max",0.0133322685697764,0.724320817637706,0.0272930031708165,0.205701675362052,0.0973577966273156
"20",635,10,630,"mean",6.23052959501558e-05,0.818494288681205,0.0809241952232606,0.0837798546209761,0.0167393561786085
"21",635,10,630,"min",0,0.800376052206254,0.0647499174443697,0.0715592888007086,0.00941127712048207
"22",635,10,630,"max",0.00055801299392719,0.836612525156155,0.0970984730021516,0.0960004204412437,0.024067435236735
"23",645,10,640,"mean",0.00149532710280374,0.277632398753894,0.00256490134994808,0.710301142263759,0.00800623052959502
"24",645,10,640,"min",0,0.258326183969162,0,0.690700505815829,0.00241867975167028
"25",645,10,640,"max",0.00410771370911917,0.296938613538626,0.00561058043665794,0.729901778711689,0.0135937813075197
"26",655,10,650,"mean",0.000654205607476635,0.722263759086189,0.0471858774662513,0.150456905503634,0.0794392523364486
"27",655,10,650,"min",0,0.701703170349116,0.0355893195526855,0.131134054675699,0.0646635439045442
"28",655,10,650,"max",0.00223436652274328,0.742824347823262,0.0587824353798171,0.16977975633157,0.094214960768353
"29",690,35,672.5,"mean",0.000145379023883697,0.0924273104880581,0.0130996884735202,0.89432502596054,2.59605399792316e-06
"30",690,35,672.5,"min",0,0,0,0.617875463096986,0
"31",690,35,672.5,"max",0.00104074816275606,0.330152274169934,0.0528726535142577,1,0.000106438213914849
"32",740,50,715,"mean",7.26895119418484e-05,0.783661474558671,0.0786230529595016,0.128681204569055,0.00896157840083074
"33",740,50,715,"min",0,0.488447633201215,0.0249048609745916,0,0
"34",740,50,715,"max",0.000693240240612697,1,0.132341244944411,0.43331228998381,0.0280411894910431
"35",770,30,755,"mean",0.00151955694011769,0.24214953271028,0.0408861197646244,0.687428175839391,0.0280166147455867
"36",770,30,755,"min",0,0.136540885273137,0.0264162551908089,0.57355083197792,0.0182149167676238
"37",770,30,755,"max",0.00444335730866332,0.347758180147423,0.05535598433844,0.801305519700861,0.0378183127235496
"38",785,15,777.5,"mean",0.00256490134994808,0.191028037383178,0.0376635514018692,0.740944963655244,0.0277985462097612
"39",785,15,777.5,"min",0,0.170877328002855,0.0256770527232274,0.719706782027241,0.0185961305514425
"40",785,15,777.5,"max",0.00563905732264919,0.2111787467635,0.049650050080511,0.762183145283247,0.0370009618680798
"41",810,25,797.5,"mean",0.00324679820006923,0.208248528902735,0.0403322949117342,0.724454828660436,0.023717549325026
"42",810,25,797.5,"min",0,0.182186585113897,0.0277661465074295,0.696091210987171,0.0131574780267299
"43",810,25,797.5,"max",0.00690796570445034,0.234310472691572,0.0528984433160388,0.752818446333701,0.034277620623322
"44",905,95,857.5,"mean",0.00269412714895581,0.413161416868582,0.0593146417445483,0.518999653859467,0.00583016037844698
"45",905,95,857.5,"min",0,0,0.0355463011674161,0.101256616813588,0
"46",905,95,857.5,"max",0.00806886361099725,0.851671578338222,0.0830829823216805,0.936742690905345,0.0170558833318789
"47",1010,105,957.5,"mean",0,0.933139809308034,0.0636146511847446,0.00323232323232323,1.32162748985179e-05
"48",1010,105,957.5,"min",0,0.845704167400373,0,0,0
"49",1010,105,957.5,"max",0,1,0.151428575770802,0.0159437825219498,0.000246125907444691
"50",1150,140,1080,"mean",0.00988206497552292,0.640203233941552,0.16657691737131,0.133084853879246,0.0502529298323691
"51",1150,140,1080,"min",0,0.446376948455402,0.135277324768027,0.0452150139999367,0
"52",1150,140,1080,"max",0.0271588562223981,0.834029519427701,0.197876509974593,0.220954693758556,0.125719506392854
"53",1310,160,1230,"mean",0.00940680166147456,0.417877725856698,0.213665628245067,0.268803219106957,0.0902466251298027
"54",1310,160,1230,"min",0,0.216750598799129,0.152564920413125,0.140367069427863,0.0682835698001374
"55",1310,160,1230,"max",0.0217672795472751,0.619004852914267,0.27476633607701,0.397239368786052,0.112209680459468
"56",1400,90,1355,"mean",0.0405192107995846,0.148414676358602,0.232814122533749,0.471843775239414,0.106408215068651
"57",1400,90,1355,"min",0.0251358430480009,0.0775922394302623,0.17296593733941,0.352518488593442,0.0883390235265578
"58",1400,90,1355,"max",0.0559025785511684,0.219237113286941,0.292662307728087,0.591169061885386,0.124477406610745
"59",1455,55,1427.5,"mean",0.0372481827622015,0.0842782969885774,0.132986500519211,0.66592523364486,0.0795617860851506
"60",1455,55,1427.5,"min",0.022593750317475,0.063068145194918,0.0746645854717503,0.563997596234367,0.0544658099315705
"61",1455,55,1427.5,"max",0.0519026152069279,0.105488448782237,0.191308415566671,0.767852871055352,0.104657762238731
"62",1510,55,1482.5,"mean",0.0152665282104534,0.0578452751817238,0.0502007615091727,0.824716164762894,0.0519712703357563
"63",1510,55,1482.5,"min",0,0.0328780108946786,0.0216070189648347,0.760051922859771,0.038677155840692
"64",1510,55,1482.5,"max",0.0317982000547089,0.0828125394687689,0.0787945040535108,0.889380406666016,0.0652653848308206
"65",1590,80,1550,"mean",0.00257658359293873,0.26480010384216,0.0251752336448598,0.637015835929387,0.0704322429906542
"66",1590,80,1550,"min",0,0,0.00172495128912989,0,0.00551544831350935
"67",1590,80,1550,"max",0.00724299608259758,0.972589374180813,0.0486255160005897,1,0.135349037667799
"68",1635,45,1612.5,"mean",3.11526479750779e-05,0.865311526479751,0.0285072689511942,0.101131879543094,0.00501817237798546
"69",1635,45,1612.5,"min",0,0.539909593845902,0.00185241714111675,0,0
"70",1635,45,1612.5,"max",0.000385879243545704,1,0.0551621207612716,0.406270469856848,0.0216887069653927
"71",1670,35,1652.5,"mean",0.000106438213914849,0.648294392523365,0.0280010384215992,0.322549325025961,0.00104880581516096
"72",1670,35,1652.5,"min",0,0,0,0,0
"73",1670,35,1652.5,"max",0.00084747271817725,1,0.0670721155927344,0.976439076529225,0.00506213298625543
"74",1715,45,1692.5,"mean",5.19210799584631e-05,0.103886292834891,0.664685877466251,0.229781931464174,0.00159397715472482
"75",1715,45,1692.5,"min",0,0,0,0,0
"76",1715,45,1692.5,"max",0.000505125421050867,0.379547501736646,1,0.641234104624944,0.00470882551473484
"77",1785,70,1750,"mean",0,0.0032398753894081,0.98388518024032,0.0128645601542798,1.03842159916926e-05
"78",1785,70,1750,"min",0,0,0.951413171083311,0,0
"79",1785,70,1750,"max",0,0.00797783869495489,1,0.0431320322487371,0.000217175265793658
"80",1845,60,1815,"mean",0.0144565593631014,0.135541709934233,0.70009172724126,0.144627898926964,0.00528210453444098
"81",1845,60,1815,"min",0,0.00417127424721503,0.47051930167846,0.0755046925072389,0
"82",1845,60,1815,"max",0.0407222992768316,0.266912145621252,0.92966415280406,0.21375110534669,0.01539315164847
"83",1870,25,1857.5,"mean",0.0444340602284528,0.223586015922465,0.536465905157494,0.177594323295258,0.0179196953963309
"84",1870,25,1857.5,"min",0.0312016923539251,0.201972589876275,0.512695373554399,0.14810498996448,0.00825930596605764
"85",1870,25,1857.5,"max",0.0576664281029804,0.245199441968654,0.560236436760588,0.207083656626036,0.0275800848266042
"86",1895,25,1882.5,"mean",0.057466251298027,0.214314641744548,0.55831256490135,0.144091381100727,0.0258151609553479
"87",1895,25,1882.5,"min",0.0451919419152051,0.195307775734727,0.53191838453394,0.119738244830496,0.0152190766792314
"88",1895,25,1882.5,"max",0.0697405606808489,0.23332150775437,0.58470674526876,0.168444517370958,0.0364112452314643
"89",1925,30,1910,"mean",0.06932502596054,0.194063689858082,0.592914503288335,0.10938386985116,0.034312911041883
