"docid" "Reference"
"55b6e494e13823bd29ba7e1e" "Sanford, Richard F.; Whitney, H.A.; McCafferty, A.E.; Gese, D.D., 1989, Mineral resources of the Little Wood River Wilderness Study Area, Blaine County, Idaho, Bulletin, , , , 10.3133/b1721D"
"558f9d21e13823109f3eeaa9" "Seeland, David A., 1973, A geochemical reconnaissance for gold in the sedimentary rocks of the Great Lakes region, Minnesota to New York, Bulletin, , , , "
"58cccd3fcf58f18e41e80ff3" "Dyer, Betsey D.; Krumbein, Wolfgang E.; Mossman, David J., 1988, Nature and origin of stratiform kerogen seams in lower proterozoic witwatersrand‐type paleoplacers—the case for biogenicity, Geomicrobiology Journal, 6, 1, 33--47, 10.1080/01490458809377820"
"5d4d05480b45c76cafa412d1" "Frishman, David; Nutt, C.J.; Grauch, R.I., 1986, Geochemical data for unaltered rocks and uranium ores from the Cahill Formation, Northern Territory, Australia, Open-File Report, , , , 10.3133/ofr86454"
"58d05104cf58f13f39efd420" "White, M. J.; McPhie, J., 1996, Stratigraphy and palaeovolcanology of the Cambrian Tyndall group, Mt Read Volcanics, western Tasmania, Australian Journal of Earth Sciences, 43, 2, 147--159, 10.1080/08120099608728244"
"58ccf019cf58f19bc60b2f51" "Skyring, G. W., 1987, Sulfate reduction in coastal ecosystems, Geomicrobiology Journal, 5, 3-4, 295--374, 10.1080/01490458709385974"
"57315a6dcf58f180e0369b37" "R. Raiswell; F. Buckley; R. A. Bern, 1988, Degree of Pyritization of Iron as a Paleoenvironmental Indicator of Bottom-Water Oxygenation, SEPM Journal of Sedimentary Research, Vol. 58, , , 10.1306/212f8e72-2b24-11d7-8648000102c1865d"
"54b43275e138239d86851a12" "Goode, A.D.T.; Hall, W.D.M., 1981, The Middle Proterozoic eastern Bangemall basin, Western Australia, Precambrian Research, 16, 1-2, 11--29, 10.1016/0301-9268(81)90003-6"
"56c1d0cacf58f15c72c906ab" "TURNER, PETER, 1975, Depositional magnetization of Carboniferous Limestones from the Craven Basin of northern England, Sedimentology, 22, 4, 563--581, 10.1111/j.1365-3091.1975.tb00246.x"
"559d0aa2e138230816dad662" "Huber, Jeff, 1999, Alaska Resource Data File; Seldovia Quadrangle, Open-File Report, , , , 10.3133/ofr99391"
"576050b1cf58f1bb198a32bb" "Kettanah, Yawooz; Zentilli, Marcos; Hanley, Jacob; Tweedale, Fergus, 2016, Geological setting and fluid inclusion characteristics of a lead-copper-barium occurrence hosted in a Neoproterozoic mafic sill at Kiatak, Northumberland Island, Northwestern Greenland, Ore Geology Reviews, , , , 10.1016/j.oregeorev.2016.05.027"
"55911c4ee13823109f3ef407" "Robson, S. G.; Saulnier, G. J., Jr., 1981, Hydrogeochemistry and simulated solute transport, Piceance Basin, northwestern Colorado, Professional Paper, , , , "
"54b4328be138239d868557fa" "Prosser, D.J.; Daws, J.A.; Fallick, A.E.; Williams, B.P.J., 1993, Geochemistry and diagenesis of stratabound calcite cement layers within the Rannoch Formation of the Brent Group, Murchison Field, North Viking Graben (northern North Sea), Sedimentary Geology, 87, 3-4, 139--164, 10.1016/0037-0738(93)90002-M"
"55b34a68e138231cbdd6d10c" "Smedes, Harry Wynn, 1966, Geology and igneous petrology of the northern Elkhorn Mountains, Jefferson and Broadwater Counties, Montana, Professional Paper, , , , 10.3133/pp510"
"54b4328ee138239d86855fcd" "Perry, Randall S.; Mcloughlin, Nicola; Lynne, Bridget Y.; Sephton, Mark A.; Oliver, Joan D.; Perry, Carole C.; Campbell, Kathleen; Engel, Michael H.; Farmer, Jack D.; Brasier, Martin D.; Staley, James T., 2007, Defining biominerals and organominerals: Direct and indirect indicators of life, Sedimentary Geology, 201, 1-2, 157--179, 10.1016/j.sedgeo.2007.05.014"
"57a1e880cf58f1248f5db326" "Balgord, E. A.; Yonkee, W. A.; Link, P. K.; Fanning, C. M., 2013, Stratigraphic, geochronologic, and geochemical record of the Cryogenian Perry Canyon Formation, northern Utah: Implications for Rodinia rifting and snowball Earth glaciation, Geological Society of America Bulletin, 125, 9-10, 1442--1467, 10.1130/b30860.1"
"5d4cf8120b45c76cafa410e6" "Tolan, 2019, Alteration, mass analysis, and magmatic compositions of the Sentinel Bluffs Member, Columbia River flood basalt province: COMMENT, Geosphere, , , , 10.1130/ges02047.1"
