,framboids,nodules,undif,seds,Age
1,2,1,66,2158,0
2,2,0,39,816,1
3,1,0,34,477,2
4,1,2,28,425,3
5,3,2,56,549,4
6,3,3,53,511,5
7,3,2,54,552,6
8,3,1,43,562,7
9,3,0,43,551,8
10,3,0,43,590,9
11,4,0,46,596,10
12,7,0,52,593,11
13,12,0,57,610,12
14,9,0,58,574,13
15,22,1,60,595,14
16,8,0,56,603,15
17,7,3,61,625,16
18,4,0,60,597,17
19,4,0,61,605,18
20,4,0,54,572,19
21,4,1,56,584,20
22,4,2,74,578,21
23,1,0,65,515,22
24,1,0,86,539,23
25,1,1,80,537,24
26,1,1,74,521,25
27,0,2,70,551,26
28,0,2,68,511,27
29,0,2,69,531,28
30,0,5,70,534,29
31,0,2,69,515,30
32,1,2,83,545,31
33,10,5,66,523,32
34,12,7,78,576,33
35,12,13,75,663,34
36,9,12,67,570,35
37,9,13,75,634,36
38,3,12,66,605,37
39,2,14,74,636,38
40,3,15,88,666,39
41,3,15,89,671,40
42,3,16,91,665,41
43,5,17,78,633,42
44,6,17,78,630,43
45,6,17,79,629,44
46,8,15,82,666,45
47,8,15,78,634,46
48,7,18,77,617,47
49,7,18,76,615,48
50,4,22,68,599,49
51,4,22,72,600,50
52,4,23,73,592,51
53,4,23,82,599,52
54,4,19,79,597,53
55,4,20,79,599,54
56,3,18,58,543,55
57,2,17,62,527,56
58,2,3,59,541,57
59,2,3,69,509,58
60,2,3,69,507,59
61,2,3,68,501,60
62,2,3,68,512,61
63,1,10,72,507,62
64,1,2,60,484,63
65,1,2,57,455,64
66,2,7,69,514,65
67,2,8,68,533,66
68,2,8,76,568,67
69,2,8,80,569,68
70,2,8,85,568,69
71,12,7,103,603,70
72,10,13,110,664,71
73,10,13,103,656,72
74,5,13,106,673,73
75,3,13,102,630,74
76,4,13,108,658,75
77,4,13,108,656,76
78,4,13,109,658,77
79,4,11,99,628,78
80,4,11,96,623,79
81,4,9,93,619,80
82,5,9,94,629,81
83,5,9,93,614,82
84,8,15,60,574,83
85,8,7,50,469,84
86,11,9,47,515,85
87,11,9,41,497,86
88,11,9,41,494,87
89,11,10,41,502,88
90,13,11,51,505,89
91,12,12,57,549,90
92,12,12,55,521,91
93,12,12,58,557,92
94,9,15,62,539,93
95,9,11,59,554,94
