"","framboids","nodules","min","undif","seds","Age"
"1",2,1,3,33,1746,0
"2",2,0,1,15,558,1
"3",1,0,1,22,264,2
"4",1,1,3,22,224,3
"5",3,1,3,42,345,4
"6",3,1,3,42,338,5
"7",3,1,3,43,350,6
"8",3,1,3,39,353,7
"9",3,0,3,39,352,8
"10",3,0,3,39,356,9
"11",3,0,3,38,347,10
"12",4,0,4,44,372,11
"13",4,0,3,46,378,12
"14",5,0,2,45,363,13
"15",5,0,2,44,351,14
"16",4,0,2,46,363,15
"17",4,0,4,48,369,16
"18",4,0,4,47,360,17
"19",4,0,4,48,355,18
"20",4,0,3,46,356,19
"21",4,0,3,46,358,20
"22",4,0,3,47,351,21
"23",2,0,2,35,293,22
"24",2,0,2,36,292,23
"25",2,0,2,35,290,24
"26",2,0,3,36,294,25
"27",1,1,1,36,301,26
"28",1,1,1,38,293,27
"29",1,1,1,37,295,28
"30",1,1,1,37,297,29
"31",1,1,1,37,291,30
"32",1,1,2,39,297,31
"33",1,1,2,38,295,32
"34",2,3,2,56,385,33
"35",2,3,1,56,402,34
"36",2,3,1,55,388,35
"37",2,2,1,55,388,36
"38",2,1,2,48,386,37
"39",2,1,2,48,387,38
"40",2,1,3,52,394,39
"41",2,1,3,55,397,40
"42",2,1,3,56,399,41
"43",2,1,3,55,391,42
"44",2,1,3,55,391,43
"45",2,1,3,56,392,44
"46",2,1,2,55,402,45
"47",2,1,2,55,393,46
"48",3,4,2,52,373,47
"49",3,4,2,52,374,48
"50",3,4,2,52,368,49
"51",3,4,2,51,365,50
"52",3,4,3,52,366,51
"53",3,4,3,52,364,52
"54",3,4,3,51,368,53
"55",3,4,3,51,366,54
"56",2,1,3,32,283,55
"57",2,1,1,30,274,56
"58",2,1,1,28,278,57
"59",2,1,1,27,254,58
"60",2,1,1,27,253,59
"61",2,1,1,27,252,60
"62",2,1,1,27,258,61
"63",1,2,1,28,256,62
"64",1,1,1,28,258,63
"65",1,1,2,31,255,64
"66",2,5,3,30,265,65
"67",2,5,3,31,279,66
"68",2,5,3,33,284,67
"69",2,5,3,34,291,68
